Reviews,Verdict
SAMSUMG PAY DOESNT WORK AT ALL.READ MORE,1
Its a powerfull mobile phone...we can say it ravan in mobileREAD MORE,1
"Looking, display, camera quality,  and other features are so awesome...Absolutely paisa vassal...Thanks flipcart and whole teamsREAD MORE",1
Great Value for money product in this price range.I am very much satisfied with the premium quality and stunning performance.READ MORE,1
Amazing phone is good cameraREAD MORE,1
It is a very good phone...really love using it...READ MORE,1
Best deal for this price.READ MORE,1
Galaxy note series are best Android devices .Note 10 plus is awesome.READ MORE,1
GoodREAD MORE,1
I love my note 10plus mobile its amazingREAD MORE,1
Good quality product.dex experience is so much better and more than easy-to-useREAD MORE,1
"In short ....... This is classic piece by Samsung.....!Most interesting part is Fast Charging and Battery Life .......which are most important in today's fast life. As always  Samsung has nailed on Camera , Display and Performance as well. .... This is ........ Must have in hand masterpiece. We really miss 3.5 mm jack as we are not able to use our existing earphones ....... and into that Adopter for same has been not yet launched in India ...... - Samsung this is not fare. ..... ! We want...READ MORE",1
Its such  a pretty phone!READ MORE,1
"Awesome Product, Great Camera , Such a Great 3D Camera, Battery Performance is also Good, Look Pretty AwesomeREAD MORE",1
"Good phone compare to S20 plus, stable and best feature phone.READ MORE",1
GoodREAD MORE,1
Display display display...just fabulous...Its so pleasing to watch 4k videos on it...Camera is good...front not that good though..Overall a nice phone...I was using Note 8 and upgraded to this...Great phone...READ MORE,1
Flipkart brings best of deals for value for moneyREAD MORE,1
Much better than othersREAD MORE,1
SuperbREAD MORE,1
beast of a device. massive battery. super battery life. very fluid UI and overall a fantastic product. worth every penny spent.READ MORE,1
What a phone...no words to say...READ MORE,1
Best phone by Samsung. One word is superb phoneREAD MORE,1
Amazing ProductREAD MORE,1
"I am giving review after one of purchasing, the phone is fabulous in this price range. However camera can be more good as compare to other phonea in this category. Overall performance is very good display as dynamic amoled. At the end i am happy with this version of samsung and request to samsung please dont discontinue this phoneREAD MORE",1
Superb phoneREAD MORE,1
"Awesome 👌 phone, great cameraREAD MORE",1
"only one word is enough to explain this product - PERFECT. I am a note series lover for long but this note is most advanced, unbeatable and beyond expectations.READ MORE",1
"Good camera  video stabilization, Beautiful  display & Good Battery  life. Powerful  tool and what else...READ MORE",1
Network is not working properlyREAD MORE,0
"Faulty phone  ,   camera slow motion problem , Framing problem , very bad experience with samsung ........READ MORE",0
1st time i am buying this type of expensive phone.i was very worried about is it gonna be worth my money.but now i can proudly say that yes...i purchased a mindblowing product.its worth every penny...my love for Samsung mobiles...and i know if they continue to give this type of products near future...this love will increase day by day...😊😊😇READ MORE,1
phone is beast. best phone with advanced featuresREAD MORE,1
Phone display is Awesome best night mode cameraREAD MORE,1
You can't ask anything more in a smartphone. Samsung has done impressive engineering with this phone.I am an average user and I know a phone should have. You can still purchase this phone in 2021.READ MORE,1
Fantastic buy. Premium mobile with best display.READ MORE,1
Phone freezes after plugging earphones.READ MORE,0
Amazing purchase and on time delivery. Everything looks good. Will update in a months time.After a months usage:Good displayReally good picturesBattery lasts for a day on moderate usage.Stylus is overrated an has limited practical usage.READ MORE,1
Gerat  product but  dilevery lateREAD MORE,1
Flipkart has just cheated people with its stupid flipkart upgrade plan which is just a fake when it come for the time to upgrade I gives u no options to upgrade and tells the seller does not have any optionsREAD MORE,0
ver nice simple superREAD MORE,1
Excellent aura color phone at best price....thanks to flipkartREAD MORE,1
"Phone is hanging, on repeated replacement request Tech visit alloted, mobile got Hanged in front of him and again worked, which they marked it as resolved issue. Front cam is the worst experience I ever had.READ MORE",0
"Going into specifics, working with business applications or a set of three tabs on the browser induce significant lag on the phone and it's very noticeable when you try to scroll the page. Aside to that, at-random intervals, the calls will drop automatically and the only way to get out of that problem is to reboot the instrument - battery levels are incidental here. Finally, from the day I've started using this phone, haven't seen full 4 towers at any location. This has resulted in poor call ...READ MORE",0
"Flagship experience at its best,Pros :High Ram + StorageLot of options for user convenience SpenCurved display30 mins of charging is enough from 0-70%Back camera acts like dslrDolby Atmos with 4k display,what else u need?Cons:I played pes2021,found a bit lag but i never played other games.Many said gaming performance are good,i want to try with other games.Front camera should have been with more clarity at this range.Main con is,this is not a 5G mobile...Only for 4 -5 years we c...READ MORE",1
If you are planning to use a phone for long time. You can use this beast. Excellent phone and now after discount grab the opportunity. Pure value for money.READ MORE,1
It was awesome experience when this device is hands on .. this very premium build..mobile with gorgeous design.. i just love this moblie..thank you samsung.@samsung_IndiaREAD MORE,1
battery very bad only half a dayREAD MORE,0
This is One of the Best Flagship Smartphone from Samsung of This Era!! Nd the Beautiful Prism Effect of Aura Glow😍❤ I will be say that the Performance of this Premium Smartphone is Beast🔥Nd Better as Compare to Other Smartphones🖤READ MORE,1
""" Reviewing after use of 2 months. The phone is a Treat in Hand. Display is top notch and the battery is top class as well. The mobile gets 100% charged actually within an hour with the turbo charger provided. 😊😊""READ MORE",1
i am die hard user of Samsung note series i have started from note 2 to and now i have reached on note 10 first of all storage its 256gb and in camera nobody is nearby as i am using the sony rx10 m3 so here you can get the same quality Excellent display you will fall in love with that and several people asked me about the phone so you cam imagine performance wise its really good comed with prefitted screen guard and a transparent tpu cover with 45 watt blazing fast charger all over worth the ...READ MORE,1
Samsung Galaxy note10 Plus super 👌READ MORE,1
Excellent experience as usual with using other note seriesREAD MORE,1
TerrificREAD MORE,1
Value for money.. exicilent device...Superb performance.READ MORE,1
"amazing awesome outstanding...love with my note 10plus..I also have iPhone xsmax  but swear to God m in love with note 10plus ...awesome camera, awesome battery life super fast charging even with supplied charger outstanding screen thanks samsungREAD MORE",1
Except battery backup everything is awesome 👌READ MORE,1
"a helping hand for a working class people and businessman,sound is really surroundREAD MORE",1
"Coming from galaxy note 8 it has better speaker, camera, performance, air gesture support for S-pen, amazing looking device. Overall l, I am totally satisfied with my purchase decision. Recent announcement of samsung to provide one extra year of software update is like cherry on the cake.READ MORE",1
The design of mobile is wonderful.Just the photos are clear but weak in performance....READ MORE,1
"Need to get used to the size of this phablet as it is very large(6.8"")...after that you will have the best smartphone from samsung, if not the best smartphone out there in your hands.Great Battery,Performance,Camera,Audio(with a little distortion on high volumes but not recognizable),Display, and Design. I would recommend this phone to those who are productivity oriented and need a phone that will last a solid 3-5 years.READ MORE",1
Excellent product. Excellent screen to body ratio. Outstanding battery life. Slim.READ MORE,1
Fantastic displayAmazing performanceDecent battery lifeExcellent build qualityGood stereo speakersFabulous camera performance especially in low light conditionsGood signal strengthREAD MORE,1
"Not worth the price , worst cameraREAD MORE",0
Awesome phoneREAD MORE,1
"Reviewing the product after 2 Months of usage. As usual, Samsung Note stand true to its name. The camera quality is awesome.the pen absolutely makes a difference from Note 8. 256 Storage is nothing less than your laptops SSD! True end to end display makes the difference. However, what I m missing is the notifications lights. They have been removed to make the display as full screen. Being a regular user of Samsung note since the launch of Note 1, 10+ has come a long way! Every New Version of ...READ MORE",1
Nice phone thanks flipkart.READ MORE,1
My self Dr Syed Hasib...i have got my galaxy note 10plus on 12 th of october..delivery was on time...i have got the best handset till now..regarding all conditions...i was an iphone user but shifting to note 10 plus made me more confortable in all aspects...hd big screen...super battery life...user friendly....and above all...the LOOKS ..are awesome🥰..camera quality is great both rear and front...speakers are really stereo...i loved the handset...❤❤READ MORE,1
Mind-blowing handset ❤️❤️ Superrbbbb cameraREAD MORE,1
"Initially I used only iPhone,  however on my brother's suggestion I purchased note 10 plus,  now I feel it's better than iPhone in best in performance , user friendly ,camera and all in one .superb phoneREAD MORE",1
Awesome ♥️READ MORE,1
