Reviews,Verdict
Its a awesome handset.The display is brilliant and the most interesting part is its back panel.It has an outstanding body design.Camera is also good.But battery backup could be better.READ MORE,1
This product is awsome with more features and nice to handle. I always like it and to convince others. Thank you.READ MORE,1
super phone and best of value for money  and beautiful notch good phone and slim and sexyREAD MORE,1
It is tge worst phone.READ MORE,0
"beautiful phone,quick delivery within 2 days..look is awesome ,camera is nice,battery couldn't say as just received my phone still works quite good..this purple color with reflection glass at d bck is amazing..vl be sharing some pics for you guys as pics shown on flipkart is little different..but in originality looks more beautiful then pics in flipkart..must buy for this price..people u wanna sexy phn can go for thisREAD MORE",1
"Bad worst third class phone, just look is good. Dual camera just for show off, I think secondary camera doesn't works, it just gives a bad artificial software portrait or bokeh effect.READ MORE",0
Its much good as much as my expectation. So guyz trust me its a much good budget phone. Little bitt to improve as battery and camera but overall its excellent..READ MORE,1
"quality is very worst,READ MORE",0
"Good Buy for Moderate Users, Not for Heavy Users .Pros: Beautiful Notch Design, Improved Camera, Gorgeous Display,  Trusted Brand.Cons: Small Battery, No Fast Charging, No Native Video Call Support.READ MORE",1
Its a wonderful mobile covering all the features which is available at an affordable value.I simply love itREAD MORE,0
its been 2 weeks using this phone.pros:1. First thing what captures your attention is the brilliant notch display.its amazing.2. Processor justifies the phone with good software optimisation.3. Camera is brilliant in day light but could have been better artificial light however with flash it balances the low light.this you can expect in this price range.4. RAM and storage memory is perfectly balanced with 4gb RAM and 64gb storage and honor provides space to extend memory.5. Gaming expe...READ MORE,1
I bought in flipkart and flipkart delivered next day itself. Thanks to flipkart for delivered very soon. Nice mobile. Very attractive and beautiful. Friendly UI. It's very superb mobile and worth for money.READ MORE,1
"Amazing as always.. This my 3rd Honor phone..  N believe me this one is also doesn't Disappoint in anything.. Looks, camera, performance works very smoothly n very nicely.. sleekly n slim design feels very good in hand.. Big display is always a advantage for gaming, media & photos.. Sound quite nice as compared to last two honor brands that I used.. Battery is the thing to talk about but it's sufficient enough for the moderate users.. Not for heavy users.. Games like pubg n alpha salt running...READ MORE",1
