Reviews,Verdict
"1) Awesome Display - Yes i had done lot of research and people out there were saying about it pixel density, but in reality when you hold this side by side to any phone you will be surprised how good the phone actually is. 2) Speed - It is just super duper speed, you will be surprised to see that it handles 30-40 apps without tiny lag3) Camera - Though it has single lens, it is far better than those andriods having 48MP's. 4) Battery -  This is big advantage of buying this phone as it has ...READ MORE",1
"I’m upgrading from iPhone SE, the things i liked in iPhone Xr isBrilliant super bright display Great performance Good battery backup Good camerasBigger screen Thing I don’t likeIt is much heavy. I feel the wight.Bezels are a bit thickNo HDR video support for displayNo gigabit LTE as in Xs or Xs max3GB RAM compared to 4GB in X, Xs, Xs maxNo 3D touch - even iPhone 8  and 8+ has 3D touchBlacks looks greyish in the darkNo finger print scannerBasic android features are still missin...READ MORE",1
Best iPhone 😍READ MORE,1
Original product. Working fine. Never seen fastest delivery before than this even when it was raining in Mumbai.READ MORE,1
"The most worst experience from Apple, they are unable fix a ringing issue. Even they have no timeline to resolve this issue.READ MORE",0
This is my first iphone and i would say its awesome . Camera is very good Battery life is really awsome its stands more than 1 and half day .Phone is really very smoth when you play Pubg while opened multiple apps in background.READ MORE,1
I must say its a very good phone! I was confused in picking up the colours and finally bought this coral variant. Its so beautiful i love the blue one too! It has amazing camera but takes 2 hrs to charge drom 0 to 100% overall it is pretty good. Recommend you guys to get it during an offer!READ MORE,1
"Amazing phone with a very powerful battery. Its the most practical iPhone. Though it has a LCD display it still feels premium n feels the best. It's the best choice if being upgraded from iPhone 7 or 8 or any lower iPhone models. Nothing to think of it its the best in the range, the camera, the built, the battery are really powerful.. A worthy purchaseREAD MORE",1
"I feel as if the people who gave the iPhone XR low ratings either didn't know what they were getting or didn't do research. I did a lot of research about the XR by watching a lot of Youtube videos of what the XR had to offer and the changes made from the previous iPhone models. The first thing is that the XR doesn't have a Finger Print Home Button, instead it uses Face Recognition to unlock it or a Pin Code. Second thing is that the Control Center has moved from swiping up from the bottom to ...READ MORE",1
So nice product. Thanks to flipkartREAD MORE,1
Phone is super at lowest price best offers best deals Flipkart is bestREAD MORE,1
it's a fantastic way to manage your communication very smartly with awesome Smooth touch...it's an amazing experience to use iPhoneREAD MORE,1
I jumped from Android to iOS with much excitement n this iPhone XR didn’t disappoint me. Its such a smooth os experience n performance. Great display good battery life awesome touch n feel ok camera. Its a good buy for iphone lovers!READ MORE,1
super smartphoneREAD MORE,1
Awesome phone from appleBest camera quality Best screen resolution (forget about the pixels)Great sound outputFace recognition will be an awestruck feature in this phoneAbove all apple user interface is at its best in XRThank you flipkart & apple for delivering this productREAD MORE,1
"I was so lucky to get this product in 35k.Pros- Long battery life my screen on time is more that 6hr never thought would get this much.No legging issue whatsoever, Despite being a heavy user.Awesome Camera but front camera is not that good compared to other phones. 15k phone front camera can beat it.Cons-Slow charger provided in the box.I find this phone to be on the higher side in terms of weight. If you are kind of guy for whom front camera is not the key point than you wont find an...READ MORE",1
"Writing this review after using iPhone XR for almost six months, a total value for money phone. Battery performance is pretty nice in comparison to other iPhones.Camera is superb. Looking forward for iOS 14 update. I would recommend to buy XR instead of SE2 .READ MORE",1
Worst product. Don’t buy this onlineREAD MORE,0
Thank you FlipkartREAD MORE,1
This phone is best to buy in 50000 range best for gaming thanks flipkart and appleREAD MORE,1
I am using iPhoneXR since a year now and i would like to mention few good things as below1. Best battery life2. Fast response3. Fairly good storage4. Big and clear display 5. Nice voice quality I also would like to thank Flipkart for offering genuine product.READ MORE,1
so good I love itREAD MORE,1
AmazingREAD MORE,1
Nice performance. Face id is really quick  and battery is ok. Ear phones are good. Overall a great buy even in 2020. I can say a best budget iphoneREAD MORE,1
"I loved it.. Camera is a superlike, Performance is awesome, and most important battery backup is great. I love this more than 11READ MORE",1
"For someone who had been stuck with Android all his life, this was first IOS change. The phone bought during big billion days costed around 40k which again was a pretty well bargain for 128 gb version. Pretty convenient in use and camera quality is simply amaze. The battery issue in X are like non existent here (I guess also depends on usage). For me who uses it for like max 3-4 hours a day, it lasts almost 1-1.25 days in single charge (maybe I don't use pretty heavy usage apps apart from soc...READ MORE",1
It's GoodREAD MORE,1
"First switch from the Samsung flagships to the iPhone. I must say the build quality, UI and the performance of iPhone XR took me by surprise. Its too early to comment on battery backup and performance, however I am looking forward to a positive experience just as my first impressionREAD MORE",1
"Best ever from Iphone this is my first apple device and i’m very glad that i bought this instead of OnePlues 7proThe phone has awesome battery backup, sound quality,style , and cameraREAD MORE",1
I loved it 🥰💛❣️READ MORE,1
"Phone worked for the first 3 months perfectly fine. However, after 3 months it started getting heated extensively even without using. Also, I felt shock when I touched the screen when the phone was being chargedREAD MORE",0
GoodREAD MORE,1
"Once again , very very happy with the product. 100% genuine and timely delivery. Thanks a lot flipkart. Happy to shop from here. Highly recommend everyone to go for this product. Worth buying.READ MORE",1
This is my second pH it is too nice to pick according to the price pointREAD MORE,1
OkREAD MORE,1
Awsm product by apple super..READ MORE,1
"One of the best 🔥 superb phone with great camera,awesome battery backup and ultra smooth performance 👌🏻 value for moneyREAD MORE",1
"Classy Phone.For people out there still confused about this phone, don’t even have a second thought, just grab right away.Its been a couple of days I got this phone and I’m totally in love with it. Thank you Apple and thank you Flipkart for the quick delivery.READ MORE",1
"1.Display 4.5/52.Camera 4.5/53.Audio quality 5/54.Battery 5/55.Performance 5/5I am already using iPhone 12. I brought Xr for my brother,i haven't seen any difference between both Display(only dark content are much sharper in iPhone 12, and also camera quality will be better in 12 that's it, performance seem to be almost close enough to Iphone 12)Go for Xr Guys it's worth buying.READ MORE",1
Very awesome world best company apple i love iphon xr i am very happyREAD MORE,1
Really amazing phone by apple .Its come with IOS 13.1.3 it’s have really good features like memoji animoji .😎Simply awesome smart phone👌 I love it😍Thanks apple .Thanks Flipkart.Thanks supercom.READ MORE,1
battery backup nullREAD MORE,0
Nice product with in a day got delivered..READ MORE,1
AverageREAD MORE,0
GarbageREAD MORE,0
The product is amazing but it took time for the delivery 📦READ MORE,1
Got green lines on screen after 1 year. Been following up with apple service and support for a month. After submitting phone face id got issue and they are not taking responsibility. Apple warranty is a myth. I lost all the interest and trust in apple at once. Never gonna cone back to it.READ MORE,0
Seem there is some issue with this phone mic. I got many complaints from my oponent. I also tried with wifi calling also.READ MORE,0
I buy this phone for my father as he always love to use Apple products (I don't know why but he love to use). So I ordered this one for him. The overall work performance is very good. The picture quality is mind blowing. After using around 7-8 months. He is still happy with this phone.. So this a great phone to go for..READ MORE,1
Still worth it in 2021READ MORE,1
Display problemREAD MORE,0
I got best nd lowest price 39487/- for iPhone xr 128 GB.READ MORE,1
Awesome product from Apple just amazing and wow😍READ MORE,1
The best phone i have ever used ....READ MORE,1
Good.READ MORE,1
"I have been using it from last 4 months and are fully satisfied with it. I had purchased it from flipkart and everyone knows that its price is much higher compare to the android phone having almost same features. But everything on an iPhone is premium . Looks great in Corel colour, battery last for full one day. Camera is awesome. Although display is not LED but still it looks great. Sound quality is great. No fast charger in the box may be a con. No heating issue at all,high end games works ...READ MORE",1
"The product is excellent. Normally people think why to invest so much when other options are available with similar features in low price. But the product quality and it's performance can only be felt once it is in hands. It's really "" owners pride,  neighbours envy""Utility for money. Loved itREAD MORE",1
Really nice product I love it 💕💕💕💕READ MORE,1
Vry bad quality .Voice is not clear and app store unable to any kind of help.totally wrost product.READ MORE,0
If you are new to IOS ecosystem then this is your choice...You get latest chipset with sleek design and easy to carry as it is not bulky or heavy...Excellent performance and smooth experience Overall value for money..better than iphone SE 2020 in terms of Battery backup and using experience..Great for daily use and if you are a heavy user or gamer then go for the 128 gb variant..64gb is enough for moderate users ...READ MORE,1
Great phone in 2020 even better than rog 3 also u can play 4 hrs pubg on higest setting in xr op phone op performance op battery op camera ip looksREAD MORE,1
"This time not satisfy with Flipkart product iPhone XR one speaker is not working plus voice audio quality is very poor, feels like duplicate iphone I get purchased I think this time Flipkart cheated me.READ MORE",0
"I have used iPhone 7 128gb variant. That phone was pretty good but the battery performance is not good. I was to supposed to charge the battery twice a day. Now in iPhone xr i have to charge only one time at the morning and seriously it gives me about 14-24hrs of battery backup (depends on the usage). Camera is awesome, battery is awesome, display is good not bad. Overall i will give the xr 4.8/5 rating.READ MORE",1
Best delivery & best phone ever on my first online big shopping ❤️‍🔥READ MORE,1
"Brilliant iOS 13,  Amazing camera, Excellent battery life, premium experience.  Better than iPhone XREAD MORE",1
WooooooW !!!! Finally bought a iiiiiiphone....This is my 1st iphone !!😄😄😄😄Super 📱 phone Smooth performance 👌Battery backup was was awesome 👏🏼 🔋 Camera 📷 with depth control was fantastic 👍🏼Feeling Soooooo Happeeee and statisfied with this model 😄😄😀😍😍😍Face ID was awesome  to unlock with in a sec even in the dark 👏🏼👏🏼Worth buy 👌📱READ MORE,1
The product is excellent!! Don't even think of neglecting this beast. I would this is the best phone You will get for 40k. Thanks to flipkart for such a superb deal. I was thinking to go for iphone X but I never regret of making a choice to go with Xr. A12 makes the way for a better world. Just go for it man.READ MORE,1
I am very happy to buy this phoneREAD MORE,1
"Loved it.. major improvements- battery performance, processing speed, ease of useREAD MORE",1
As a premium phone the quality of the product is nice. Well finished edges. Have a good battery life. For normal use the camera is okay.Satisfied. Worth for money.READ MORE,1
They are not friendly to return the product as i am asking to return the product in this situation.READ MORE,0
"It's Apple. So no questions on overall quality.It's just that XR could have been more better from camera and screen resolution/pixel density standpoint. Photos come out pretty well but could have been better. Battery backup is good in XR. Sound is loud, crisp and clear. It is fast and processor does the job well. So, that's it.READ MORE",1
Nice delivery by Flipkart and 10/10 in apple xrREAD MORE,1
The product is excellent!! Don't even think of neglecting this beast. I would this is the best phone You will get for 40k. Thanks to flipkart for such a superb deal. I was thinking to go for iphone X but I never regret of making a choice to go with Xr. A12 makes the way for a better world. Just go for it man.READ MORE,1
Awesome camera experience 😍😍READ MORE,1
Worth for money!READ MORE,1
First of all thanks to flipkart for giving a very good product 8 years use of android now I m shifted from Android to iOS Regarding product Iphone XR is best and value for money Compared to android Use of IOS is awesome but first 2-3 days you will face some difficulty how to download apps How to use all apps once you aware about iOS you will never think of androidFriends phone is very fastBattery and Display also very good why i didn't know some people are telling display is not good....READ MORE,1
"In this 2021, just go for it, really very nice and I love iPhone I already used iPhone 8+ after that Now I upgrade Xr❤️READ MORE",1
"Don't buy these phone please. I have very normal usage of 2-3 hours of phone. I have bought this phone on 18 october and today is 4 november. Its only 17 days and my battery health gone 99% from 100% and I am using apple original charger of 5w. Instead my friend bought iphone 11, his daily usage is of 7-8 hours of gaming while using some duplicate fast charger. Still his maximum battery capacity is 100%. Very upset with the apple iphone.READ MORE",0
not feels like an elegant one. screen padding is not good.battery is goodREAD MORE,1
Great phone at Great Price point.. Most affordable iPhone.. loved itREAD MORE,1
Undoubtedly best in everything. Go for it till 2022READ MORE,1
NiceREAD MORE,1
"Great value for money iphone. All rounder. Still a champ to give a stiff n best fights to many same range flagships.Need an iPhone. Go for it. Good hardware, better with the camera, battery life is can be managed with a day average plus usage. Rest this is not a beast but surly neither a general 1..it got all that you need in a good 1..so in 2021 if this is ur last stretched budget, then blindly choose this as yours.READ MORE",1
"Horrible experience with iPhone xr. Software issues, received faulty product mic not working properly. Other person not able to speak properly. Severe heating issues. Dealer send faulty product even after exchange. Box arrived with seal broken. Given compliant to flipkart but to no use. I hate iOS phones. Android are much better. Waste of money. Not worth it. Don't buy from Flipkart otherwise dealer send the faulty product. Bad and worst experience. Third class phone compare to Android phones.READ MORE",0
Value for money must sayREAD MORE,1
