Reviews,Verdict
Nice phone at this price ranges. Camera quality is average.READ MORE,1
One of the worst display and camera. performance also very slow its not worthy.READ MORE,0
GoodREAD MORE,1
Best productREAD MORE,1
Vali for moneyGood for usREAD MORE,1
"Decent value for money product from Motorola.  Just that nowadays our games and applications require more computing power, the 4GB RAM lags when you use it for games like NFS.  All in all a good buy for the money value.READ MORE",1
Mobile not working property if I installed trucaller I tas getting off.READ MORE,0
touch not work properREAD MORE,0
Very bad product plzz don't Buy it If you really understand the Value of MoneyREAD MORE,0
I am Happy ❣️😀READ MORE,1
GoodREAD MORE,1
Very good productREAD MORE,1
Nice mobileREAD MORE,1
Loved itREAD MORE,1
Dummy phone don't buy...  Waste...READ MORE,0
GoodREAD MORE,1
budget phone for moderate use. no trouble so far.READ MORE,1
Best Phone in this price segmentREAD MORE,1
ExcellentREAD MORE,1
Very nice 👍READ MORE,1
Super niceREAD MORE,1
Aal things are good all perfomences are good but only one problem I faced too much in this phone that is my phone📱 allways shutdown automatticly...READ MORE,1
Best Mobile according to the price.Fully satisfiedREAD MORE,1
SuparREAD MORE,1
Overall good ..but camera not too much good ..but okay for work..this phone really amazingREAD MORE,1
Not goodREAD MORE,0
Mobile battery is Getting drained very quickly..worst mobile by motorolla.within 7 days of its use I came to know...READ MORE,0
This phone is very wrost phone no anyone purchased it itemREAD MORE,0
Incoming and outgoing calls popup notification not workingREAD MORE,0
NiceREAD MORE,1
Below averageREAD MORE,0
best productREAD MORE,1
Camera quality not so goodREAD MORE,0
Good motoREAD MORE,1
goodREAD MORE,1
Its good 😊READ MORE,1
AwesomeREAD MORE,1
GoodREAD MORE,1
very fast and value of money productREAD MORE,1
Good ProductREAD MORE,1
OkREAD MORE,0
"Very disappointed with battery charging.Battery charging very slow,it takes approximately 8hours to full charge,i bought this mobile on march 2nd 20221.today (26th March,2021) i shocked due to very slow charging, from starting days it takes full charging 3hours only,but now takes 8hours minimum to full charging of batteryREAD MORE",0
Worth for moneyREAD MORE,1
Its awesomeREAD MORE,1
"Nice with good features, value for money 10 out of 10👍READ MORE",1
Wheneer i am calling display not showing also whenevr i listen audio display goes black..READ MORE,0
NiceREAD MORE,1
The phone is good for giving to parents. With big display ligh weight n simple clean os.READ MORE,1
This vry bad experiance in my cariar I am booking new motarola But this product is sencer issue But not rrplaced the product Very very bad sirviceREAD MORE,0
"Works great , just Camera is Low res.READ MORE",1
Products are good I purchase simple use to home product and quality are best purchase and deal are correct  product....... So good product.READ MORE,1
"The exchange offer is valuation is horrible, while all the details are satisfactory by the representative, however, he has given the reason as display power is lower than the original, how they expect the old phone should be as new condition..Advise the exchange offer from flipkart is only making fool to customer ..not to go for itREAD MORE",0
Highly Recommend for those Who Gets tired from watching ads in Smartphone like Mi etc..READ MORE,1
GoodREAD MORE,1
"First of all battery is awesome, display wonderful overall fine. Drawback of  phone - camera is very poor, charger is of c type so no other charger can be used for charging, hybrid slot  so u cannot use 2 sim and 1 sd card  at same time. Over all phone at this price is awesome. Normal OTG also can't be used due to C type charger.READ MORE",1
Such a nice bugdet phone from motorola...👏READ MORE,1
SuperbREAD MORE,1
GoodREAD MORE,1
"I purchased it today .. look is very good , Tahiti blue colour is also good . Camera is good ..  back side of finger print digine M look is attractive .. and 1 extra buttom to google speak I really like it... Over all very good ..in this price ...READ MORE",1
Nice phoneREAD MORE,1
Very nice..READ MORE,1
Excellent phone for the price. Matching my specification of use and needs.READ MORE,1
"Very very display phone call for not display, battery is almost lowREAD MORE",0
GoodREAD MORE,1
This mobile series rubish working of my experienceSensor doesn't work.. you can't call recieve and daile .. with out sensor..Please I suggested to all of you.. please don't buy this phoneREAD MORE,0
Moto products is the bestREAD MORE,1
Perfect at the price. Perfect for normal users. Not for heavy gaming. A daily use budget smartphone.READ MORE,1
Just wowREAD MORE,1
Nice podakREAD MORE,1
Vary vary good mobileREAD MORE,1
"A great product! I'm very happy to see Motorola rolling up again, this is a great budget range phone, I bought it for my mom, she's a minimal user, and she's quite happy with it. I'm currently using an Iphone & I've used many Android phones but the stock Android feels too smooth & doesn't lag!. Go for it..READ MORE",1
Nice productREAD MORE,1
Super mobile value for money quality products thanks flipkart 😘😘READ MORE,1
Bad manufacturingREAD MORE,0
Okay..READ MORE,1
Very good product.value for money.READ MORE,1
Am happyREAD MORE,1
Best in this priceREAD MORE,1
It is greatREAD MORE,1
Good product and worth rupeesREAD MORE,1
My brother like Motorola....READ MORE,1
SuperbREAD MORE,1
First of all thankyou flipkart for fast delevery in 24 hours. Staff is also polite and kind. It's a nice product in under budget. Totaly google programming phone. Battery backup is also ultimate.camera quality is normal as u want. Acording to me No comparison of it with any other product under this price.READ MORE,1
Good choiceREAD MORE,1
Look amazing...READ MORE,1
Worst mobile don't buyREAD MORE,0
Good productREAD MORE,1
hanging problem this phone very bad performanceREAD MORE,0
Super mobileREAD MORE,1
Useful phone waste my money  Very bad profamanceREAD MORE,0
I bought it to gift to one of my family members but tested its quality for a few days before gifting to ensure that it was good and functional. My observations after using it are as following:1. Battery: It can't get any better than this. The 5000mAh battery lasts much longer than usual phones. I used the phone continuously on moderate level for 2 days and still the battery left was around 20 percent.2. Performance: The performance is adequate and the phone didn't hang nor got heated afte...READ MORE,1
Hanging problem and charging problemREAD MORE,0
"Sufficient performance and quality for the price range. Good for someone who doesn't play games, only calls, WhatsApp, occasional zoom meeting and YouTube. I gifted to my parents and is excellent replacement for their old phone. Fingerprint is really helpful for parents to unlock the phone with ease.Slightly bulky and heavy but after some days of use they got used to it. camera 📸 quality is good.READ MORE",1
poor quality display and camera mobileREAD MORE,0
Very goodREAD MORE,1
Nice 👌👌READ MORE,1
It's good product....READ MORE,1
Everything is awesome 😎😎READ MORE,1
AmazingREAD MORE,1
My new phoneREAD MORE,1
The camera quality is very bad.READ MORE,0
Good product and value for moneyREAD MORE,1
Awesome mobileREAD MORE,1
Very niceREAD MORE,1
"Hello friends, I never reviewed a product before and this is my 1st review. To be frank I couldn't resist myself without reviewing this product.1. Worth the money, I bet nobody can match the same for 8300 rupees.2. Huge display size3. Other bands with same specs r minimum 3 to 5 thousand higher than tis. 4. Moto E7 power... Def a power withinREAD MORE",1
Hangs every now and then..very poor performanceREAD MORE,0
Very nice cameraREAD MORE,1
Best mobileREAD MORE,1
At this price very good phone.READ MORE,1
Nice cameraREAD MORE,1
Nice Mobile. Very less pre-installed apps. More storage. Back camera is nice. Front camera is ok. Battery is so good. If normal use battery 🔋 work 2 days. Budget phone 🤳. Thank you Flipkart. I am always use Flipkart. Best service. Best courier.READ MORE,1
"Awasome, colour is sooooo beautiful, I am very very happy, & I ordered on Friday, the delivery boy suman  came for delivery on next day, Saturday, due to vote my office was closed,so I request for coming on Monday,he came today Monday at 1st half with too much care of my PKG,  he is so nice & gentleREAD MORE",1
SuperREAD MORE,1
Moto e7 power has not moto qlality mobile. I used Motorola phone since last 7 year. Moto G2 Moto E3 power Moto G6. But this phone has not performance like that.. picture quality is very poor.. sound quality also very very poor.. performance look like any China phone..READ MORE,0
Really Amazing and battery backup wow✌🏻READ MORE,1
"The best mob.phone.Thank you Flipkart,💐💐💐READ MORE",1
Poor PerformanceREAD MORE,0
Bought the phone on may 3 but the phone started switching off during use after 20 days. Now the phone is terrible. Don't buy from the seller.READ MORE,0
Phone is tomuch heatedREAD MORE,0
Very poor this phone don't buy please very slowREAD MORE,0
Very GoodREAD MORE,1
Operating system  very slowREAD MORE,0
"Already used mobile I received.. One of the worst experience to flipkart.. No seal to box and phone pay, paytam are also some one  login.. And mobile are full heatingREAD MORE",0
"Worst failed and defective product, there is a problem with the model itself that's why the are selling at such a price.I have applied for return 2 times for replacement, both the times the technician came did something and went after few days same story.DO NOT BUY THIS PRODUCT.I am still chasing flipkart for the return.READ MORE",0
GoodREAD MORE,1
Worst cell phone 📞 I had purchasedREAD MORE,0
I am happy with the new phoneREAD MORE,1
Overheating while chargingREAD MORE,0
"Camera could be lil better bt no worry,Nice product in this price range,my sister love this 👍READ MORE",1
Very niceREAD MORE,1
Love itREAD MORE,1
Worst products packing from Moto..local company have good packing system..READ MORE,0
Bad performance automatic switch off and switch onREAD MORE,0
One of the wast Mobile .And Mobile company.READ MORE,0
Amazing phoneREAD MORE,1
Very good mobile for basic use. Loved it.READ MORE,1
Good photoREAD MORE,1
"Poor performance and Camera quality is very bad...... don't buy this product in this price because the this price segment, more than options available for high performance with best price....READ MORE",0
Nice phoneREAD MORE,1
Nice product i am so happy thank you flipkartREAD MORE,1
Screen was very delicate it was just slipped at just half feet and broken where as MI being an Chinese brand doesn't brokeREAD MORE,0
"Mobile not working properly, worst mobile. Automatically continuesly restarting. 7 Days Replacement or Refund are fake, So many times tried but not able Replacement  or Refund. Finally scrapped that mobile. Waste of MoneyREAD MORE",0
Nice & Quick Delivery .READ MORE,1
Volte is not enable function due to that speed of internet decrease while on call.READ MORE,0
Very nice mobile ✨READ MORE,1
Worst Mobile don't waste moneyREAD MORE,0
GoodREAD MORE,1
Please don't waste your money performance camera and display very badREAD MORE,0
A1  mobileREAD MORE,1
Best priceREAD MORE,1
Good phoneREAD MORE,1
GoodREAD MORE,1
Over all NiceREAD MORE,1
Nice productREAD MORE,1
Thanks FlipkartREAD MORE,1
Good for priceREAD MORE,1
Mobile is bestREAD MORE,1
GoodREAD MORE,1
NiceREAD MORE,1
Very efficient phone in this budget. Insist to buy thisREAD MORE,1
"Performance is very poor, dont support 5ghz wifi also. I found it outdated and below average. Only good thing is that Flipkart delivered it very fast.READ MORE",0
"Veeerrry pooor ,not even calls are workingREAD MORE",0
In this value best mobile in IndiaREAD MORE,1
"Best Mobile under 8000 thausand,Good Battery life,Good displayREAD MORE",1
Not goodREAD MORE,0
Beautiful camera battery backup C type charger beautiful so backup thank youREAD MORE,1
Camara quality very very badPlease don't buy this productREAD MORE,0
Good phone at this price range. Display is large and therefor feels uncomfortable while handling. Sound quality is good.READ MORE,1
Best Mobile. Thanks FlipkartREAD MORE,1
Dont buy this product..software fault in whole lot.. exchanged twiced but same problem occured.. now what to doREAD MORE,0
Ok worth of manyREAD MORE,1
Very NiceREAD MORE,1
GoodREAD MORE,1
Very nice mobileREAD MORE,1
Best 😂 phone everREAD MORE,1
NiceREAD MORE,1
It's amazing 😁READ MORE,1
Very good I'm so gladREAD MORE,1
Don't by this product because camera was not good and they don't take returnREAD MORE,0
SuperBishnoiREAD MORE,1
Super mobileREAD MORE,1
Good productREAD MORE,1
Budget friendlyREAD MORE,1
Great mobile technology by Motorola it's excellent to mi and sumsungGreat features given by moto Company is from USA not china thats great.My next 5g mobile will also Motorola USA.Mobile has each n every features which u think about that.READ MORE,1
not worth to buy.Lags with many things in software/OS side.Go with RealMe Narzo 30AREAD MORE,0
1. Recommended for Normally users. 💯2. Not for gamers. 👎🏾3. Best bettery life. 👌4. Camera quality not bad but fine. 😍5. Build quality. 💯6. Not for heavy users. 💔😈READ MORE,1
Mobile not worthy as investedREAD MORE,0
Nice quality 👌👌READ MORE,1
Not good this phone charger is not good bad batteryREAD MORE,0
