Reviews,Verdict
Camera is worstREAD MORE,0
"This is Great phone build wise, looks premium in hand, but if you compare specification of this phone with chinese brand then you will get dissponted, this phone is from different league.  And keep in mind spec are only number it should actually get converted into real time perfromance, whatever comes with this phone it maximises it and delivered to user which is good. Pros:1. Build Quality is strong2. Looks Premioum3. Cinema Mode Video is Great4. Software upgradesTie:1. Camera : Rea...READ MORE",1
I have been using nokia 6.1 plus for the past three years. This is similar to that phone and one of the best smartphone i have ever usedREAD MORE,1
Love this modelREAD MORE,1
"Not nce hanging, camera quality not good pls dont go for it waste of money ..READ MORE",0
Good finished handset.READ MORE,1
Overall it's A good phone.READ MORE,1
Nice product butREAD MORE,1
"Good, smooth and worth itREAD MORE",1
"The product is good enough, without any junk app. Only cons is google launcher can be deleted or move on home screen and no gallery to view media except google photo app which enforce to sync data on cloud.READ MORE",1
Nice built quality. And really thaks to Android One. Smooth and secure. We can always trust Nokia as before.Camera: Front camera quality could be better. Back camera quality is good at enough light environment.Battery backup: Good.Display: Good but FHD would be better.Performance: Much better.And of course budget friendly. Thanks Nokia.READ MORE,1
"Front camera quality is very bad.During call, voice going outside. Which may embarrassed you some time.It’s better go with other options in same price range.READ MORE",0
Not comfortableREAD MORE,0
"Very good set,,, i love nokia,thanksREAD MORE",1
Don't go for this product useless product worst camera experience at this range segmentbetter to go for othersand i have raised a replacement but flipkart rejected replacementREAD MORE,0
My first phone was Nokia 5110 (Year 1998). After that many Nokia used. Nokia 5.4 is very advanced. Camera quality is very good. Price also reasonable.READ MORE,1
Im Big Fan of Nokia Since my childhoodNokia to Lumia to Nokia Journey had been great1st time I bought Nokia 5.4 phone from Flipkart Delivery got faster but after receiving product was dispointment started initial with the camera then battery and software issue it lags in betweenI raised return with Exchange policy No proper call from Service team Somehow Tech guy came after 5th day and put one two software and said your phone can't be exchanged as it is good in condition.Now without...READ MORE,0
"It has serious software issues, phn gets switched off or goes to soundless mode by it's ownREAD MORE",0
NiceREAD MORE,1
Below average camera quality.READ MORE,0
Good battery lifeNo heating issuesSmooth performanceDecent cameraOverall excellent value for moneyREAD MORE,1
Best productValue for moneyHigh durabilitySuper cameraBattrry life excellentREAD MORE,1
NiceREAD MORE,1
SuperbREAD MORE,1
NiceREAD MORE,1
"Very nice product, photo quality average, video quality great, battery 100% to 0% screen time about 10 hours continuously on YouTube.READ MORE",1
Don't buy very poorREAD MORE,0
"Poor Connectivity, this device is dropping voice during call ... Person on other side is not able to listen properly.... Not expected this from NokiaREAD MORE",0
Flipkart product is very best nokia 5.4 is best mobileREAD MORE,1
Video Cal quality very badREAD MORE,0
Love itREAD MORE,1
"One more worst product from nokia ,battery performance hardly 6hrs, hanging in between calls and getting switched off, and many more issues, not at all worth for moneyREAD MORE",0
Camera quality is very poor. Phone is working slow.READ MORE,0
"Not for photography , camera quality just GoodREAD MORE",1
Exchange Valuation is not correctREAD MORE,1
Nice mobileREAD MORE,1
"Satisfied the product, but the packing was very poorREAD MORE",0
as per expectation its very worst mobileREAD MORE,0
"Getting issue while app update ,slow response while making a call and disconnecting a call ,calls getting disconnecte if data is on... camera is also not upto the mark,I purchased this one as I have a positive impression on NOKIA brand ..But disappointed with this performanceREAD MORE",0
Awesome mobile.. strongly recommendedREAD MORE,1
Use less product waste of money don't buy this phoneREAD MORE,0
Very bad performanceREAD MORE,0
It hangs a lot and switching off often waste of moneyREAD MORE,0
"Charger pin has broken,..you should give one month return policy then only we will cm to knw function and damage of the products..Now I want return damage charger and plz issue other chargerREAD MORE",0
The phone is same as described.. and it has good build quality compared to MI or redme phones..READ MORE,1
"Good product , We loved it very muchREAD MORE",1
"Very nice and easy to operate mobile especially for senior citizens. Easy to access, the visual effect is very nice. Must go for it.READ MORE",1
Good but camera quality is normal battery time not performance goodREAD MORE,1
GoodREAD MORE,1
good overallREAD MORE,1
It is a good & awesome phone by NokiaREAD MORE,1
good phone at this price range.....i loved it.....READ MORE,1
Thank you flipkart & nice productREAD MORE,1
"Software is lagging, really disappointed with this product.READ MORE",0
Design goodREAD MORE,1
"Automatically going on hold, mic gets muted while speaking.Internet get disconnected during call with one SIM card.READ MORE",0
"Nice phone, but it is not suitable for multi tasking, got hanging, battery backup is good, camer is also good , for normal use it is super phone.READ MORE",1
SuperREAD MORE,1
Very Good....Thanks ❤️❤️❤️READ MORE,1
AwesomeREAD MORE,1
Speaker is not working properly.READ MORE,1
Poor Cameras (Both)READ MORE,0
Budget phone for parents.READ MORE,1
Performance of Nokia is good.READ MORE,1
"Use stock android, i.e. android one. With combination of nokia, it works like magic. I am saying this after using and comparing with Xiomi, levovo, LG, Samsung (all mid range phones). Camera is the only drawback. Make sure you know ur preferences. Nokia 6.1 plus was my prev phone for 3 years. That says it all I believe.READ MORE",1
Osm phoneREAD MORE,1
"Average camera, great display and touch response, descent batteryREAD MORE",1
"Reviews1. Looks great, handy set, feels good as less weight compare to market on releaseing hand set.2. Camera issue faces while forcing on objects.3. Performance wise expectation not reach up to the mark.4. Battery is good, one time charge may use more than 24 hours usage.5. Sounds also ok, not loud, speaker phone.6. 4g connection good, security update may get proper.7. Suggestions to take 6 GB ram version for better performance (completely self understand).8. Stock android experienc...READ MORE",1
"best phone for everday uses.no bloatware, great battery standby,and good camera.READ MORE",1
Again it's Nokia.. I loved it.READ MORE,1
"Waste of money , rubbish phone,. Worst phone of my lifeREAD MORE",0
All features r Very goodREAD MORE,1
Features are not up to the mark as per the price charged.READ MORE,0
Front camera badREAD MORE,0
Nice build qualityREAD MORE,1
Just ok product. I believe this Nokia mobileREAD MORE,1
Hanging issue is more and suddenly turn close apps./ ui not working properlyREAD MORE,0
This phone laggs. It's been just a day and it has started lagging. phone doesn't gets locked while on call everytime. It's an okok product from nokia. I had high expectations from nokia. Bt it's not worth 13k. If your budget is this much go for something else. I'm adding one more point in review. It's been about a month and the charging slot has been damaged m I'm not able to charge my phoneREAD MORE,0
Front camera problemsREAD MORE,0
VERY GOOD HANDY LIGHT WEIGHT PHONE> NOKIA IS SUPERBREAD MORE,1
Good ProductREAD MORE,1
Good for familyREAD MORE,1
Good productREAD MORE,1
Nokia mobile is very poor quality application is not working and camera quality is poor don't by nokia mobile total waste is moneyREAD MORE,0
Good product battery backup also good loved it Good Work NokiaREAD MORE,1
GoodREAD MORE,1
Value for money 👌👌👍READ MORE,1
Display quality is worse..Due to Very low resolution and PPIMay have increased as many china mobile provide good resolution in this price range..64gb ROM is very less..may have increased up to 128gb..Camera in light is best..but in dark or low light is worst..Front camera is worst..Battery backup is best..Best looks..Best sturdy mobile..all other features are best and unique style phone...Nokia is still the best..just to provide some more quality materials in this price range comparati...READ MORE,0
"Nokia 5.4 main USP is two year guaranteed OS update and three year security updates.Battery backup is good, Camera avarage, sound quality is not louder.READ MORE",1
"The most basic feature, I.e., locking of the screen when on call does not work leading to some times accidentally switching to airplane mode while on call.Software is not very user friendlyREAD MORE",0
"Awesome phone, Thanks Flipkart for speed deliveryREAD MORE",1
Bought this for my wife and i am happy with this purchase.. Battery life is marvellous.. Camera quality is not greatREAD MORE,1
I was writing a review offer using one day superb phone first thing is non Chinese phoneSecond thing is clean android feels like appleMust buy Little higher then Chinese but worth...READ MORE,1
"By the look phone is good , Like a premium one. But the performance is little low in compare to other Android phones.Camera is ok ok , battery life is bad. Work like little slow. So i prefer all of you if you want to take a real experience of android please don't choose this one. But on another ground if you want a premium phone with a great look you can choose this one.READ MORE",1
"Good experience, Good points:1. Operating systems is very very good. Also very clean without advertising.2. Battery performance is very good. 3.Display is good. If u compare to chinese(Oppo, Vivo, MI, real me)  FHD+ display, nokia HD+ display looks similar, no difference at all.4. Voice clearity is good when call talk.Bad points:1. Camera is worse i have ever seen on any nokia phone. Even 8 mega pixel single cam have better resolution than this 48 MP quad cam. Moto G2 has better camer...READ MORE",1
OsmREAD MORE,1
Nice product.READ MORE,1
Please don't purchase.. slow for even basic taskREAD MORE,0
Pathetic phone. Hangs every now and then.READ MORE,0
The power lock unlock button not proper working after replacement my problem still continue.READ MORE,0
"Camera is pathetic , don't by just because it's Nokia,in this price you can get samsung mobileREAD MORE",0
This phone is just awesome 👌READ MORE,1
Pretty good value for money and also I didn’t have to buy a Chinese phone.READ MORE,1
ok typeREAD MORE,1
"Exquisite product from Nokia...If you are looking for a worthy stock Android experience embraced with a good design and built quality..go for this phone.I bought the 4GB variant and haven't noticed any thing abnormal regarding the working or switching b/w the apps.Without any bloatware or dispensable features found in other phones, the phone does a decent job .Coming to the camera ,it clicks pretty awesome pictures .The design is what makes the phone looks stunning.Yeah, you have to shell...READ MORE",1
This phone performs very good because of clean Android OS.READ MORE,1
"the best smartphone for the price. never go by the specs. the moment you hold it in your hands, u will be mesmerized by the build quality and ergonomics. camera is good. battery life awesome clean UIREAD MORE",1
"If you want stock android, decent performance, good daylight camera performance and you are an average smartphone user, you can buy this mobile. For daylight camera performance please refer the images shared. Night mode is available but not that much satisfactory. You get nearly 1and half days battery life on normal usage.READ MORE",1
Best 👍READ MORE,1
"I ordered it for my dad as he was using poco which was a huge phone and he was annoyed with the ads coming in notification so if you want a ad free experience with stock android and a good handy phone for daily use, This is the best option to go with 👍🏻READ MORE",1
Better nokia but this model mobile screen performance sometimes slowelly workREAD MORE,1
No split screen optionsREAD MORE,1
GoodREAD MORE,1
Best for mid useREAD MORE,1
Nice phoneREAD MORE,1
If you are a blind follower of nokia (Actually HMD Global) then surely buy this device. You can get a beast at this same price like POCO M3. but father wanted a light weight device and chose this.READ MORE,1
WasteREAD MORE,0
FM is not working properlyHang the phoneREAD MORE,0
Just loving itREAD MORE,1
"PERFECT . CLOSE YOUR EYES AND BUY ONE . THIS IS A TRUE VALUABLE  PERSON REVIEW . NOKIA 5.3, NOKIA 5.4 ARE NOT BAD ITS MORE RELIABLE THAN Mi, OPPO, VIVO THOSE ARE CUSTOM OPERATING SYSTEM PHONES , BUT NOKIA HAS STOCK ANDROID AND IT SUPPORTS GOOGLE CAM APPS PERFECTLY WORKING , I USING NOKIA 5.3 FOR SHOOT VIDEOS FOR MY CHANNEL. . . .I STARTED LOVING BACK THE LEGENDARY BRAND NOKIA . . .""THANKS NOKIA AND FLIPKART""READ MORE",1
