Reviews,Verdict
Very goodREAD MORE,1
"Superb mobile phone, this is actually water proof, picture quality, battery life is awesome.READ MORE",1
Nice phoneREAD MORE,1
Oderwais is good bady hearted too much after first chargingREAD MORE,1
GoodREAD MORE,1
GoodREAD MORE,1
NiceREAD MORE,1
WorstREAD MORE,0
Camera and display was not goodREAD MORE,0
Excellent productREAD MORE,1
Good phone and budgeted.READ MORE,1
Very nice designREAD MORE,1
It is a good phone for gaming and daily useREAD MORE,1
Nice productREAD MORE,1
IT is very good phone and I specifically thanks Flipkart service is very good thanks Flipkart once againREAD MORE,1
GoodREAD MORE,1
Worst product.READ MORE,0
Very good phoneREAD MORE,1
Very nice lockREAD MORE,1
very niceREAD MORE,1
good productREAD MORE,1
GoodREAD MORE,1
Good qualityREAD MORE,1
"Writing review after four days , camera is good , battery also long time, no heating problem.nice mobile by Oppo..READ MORE",1
"This phone is one of the worst phones. Wasted money if you purchase.Call recorder files are not saving.The touch screen is responsible very badly.The clean master app is not working.Sticking the phone while working.so many issues are there.Money waste, time waste.The Rear Camera is not good. While zooming the image is blurred.The phone mic is not working when I on the speaker while calling.READ MORE",0
NiceREAD MORE,1
OkREAD MORE,1
Average mobile Not that great..READ MORE,0
Not badREAD MORE,0
Nice phoneREAD MORE,1
Good productREAD MORE,1
Very badREAD MORE,0
GoodREAD MORE,1
NiceREAD MORE,1
Not goodREAD MORE,0
Very good picREAD MORE,1
Battery backup is lowREAD MORE,0
Phone shape is very attractive and amazing....good Quality. Nice Product by oppo and thanks to flipcartREAD MORE,1
Good battery backupNice cameraREAD MORE,1
Best mobileREAD MORE,1
Really nyc fonREAD MORE,1
Not goodREAD MORE,0
NicrREAD MORE,1
Simply  so good value for moneyREAD MORE,1
Nic phoneREAD MORE,1
GoodREAD MORE,1
Best phone in this rangeREAD MORE,1
Very niceREAD MORE,1
Display very badREAD MORE,0
Overall Good ExperienceREAD MORE,1
Very good phone 🤳READ MORE,1
I love this phone.READ MORE,1
Best ever mobile in price sigment K10_5g it's top class performancesREAD MORE,1
"Good product!Smazing performance,Camera,Speaker and Looks are very good! I recommend my relation and friends to buy this phone!READ MORE",1
Super phoneREAD MORE,1
Bad experienceREAD MORE,0
Purchase it good midrange mobileREAD MORE,1
Camera is very poor.READ MORE,0
Good cameraREAD MORE,1
"Awesome, good battery,good camera, best lookingREAD MORE",1
This product is very 👍READ MORE,1
Good...READ MORE,1
Excellent 🥰🥰🥰🥰🥰🥰🥰😜😜😜😜🤪READ MORE,1
Nice phone and cameraREAD MORE,1
So happyREAD MORE,1
Nice phoneREAD MORE,1
AmazingREAD MORE,1
Very Lovel MobileREAD MORE,1
Good 👍READ MORE,1
Nice 👍👍👍👍READ MORE,1
Nice cameraNice and long battery backupDisplay performance niceWonderfull 8 GB Ram experienceSlim Phone nice handlingREAD MORE,1
Working badREAD MORE,0
HappyREAD MORE,1
Nice...READ MORE,1
Good productREAD MORE,1
Superb phoneREAD MORE,1
Super 💖😘READ MORE,1
GoodREAD MORE,1
Overall it was a good purchase from Flipkart..The seller associated with Flipkart did his job nicely. This phone is good. It would've been nice if Oppo could give AMOLED display in it.. Performance is superb.READ MORE,1
Nice quality!!Best mobileREAD MORE,1
Nice look and good product oppoREAD MORE,1
No wordsREAD MORE,1
Overall Nice phone.. The price range is pretty good!! It's my first time I go for Oppo..Thanks Flipkart for one day delivery...READ MORE,1
Wow this mobile is very good my mobile pictureREAD MORE,1
Super QualityREAD MORE,1
Mass Allah khub valo akta mobileREAD MORE,1
Superb OppoREAD MORE,1
Nice 👍READ MORE,1
So goodREAD MORE,1
My phone's display went just after 12days and it's not properREAD MORE,0
Nice phone in this rangeREAD MORE,1
GoodREAD MORE,1
ExcellentREAD MORE,1
GoodREAD MORE,1
Over all is goodREAD MORE,1
Very good productREAD MORE,1
Very good productREAD MORE,1
Very nice productREAD MORE,1
so beautiful very niceREAD MORE,1
SuperbREAD MORE,1
Value of moneyREAD MORE,1
Great smartphone but average displayREAD MORE,1
Stunning look...high speed processor...value for money...has almost all features in this mid range model... Support upto 5g network ...having 8 gb ram ...128 gb hard disc...fast charging...48Mp cameras... awesome display... brilliant sound effects...what else one need more than this ..READ MORE,1
I am using this phone from last week.This is so good and value for money.READ MORE,1
Very very goodREAD MORE,1
GoodREAD MORE,1
I love 💕READ MORE,1
"Volium Up and Down not Working, it is main problemREAD MORE",0
Battery and camera quality is beadREAD MORE,0
Awesome camera quality.READ MORE,1
Good productREAD MORE,1
Vary goodREAD MORE,1
Not a good product as per pricePlastice bodyReally disturbed after buying phoneREAD MORE,0
So niceREAD MORE,1
GoodREAD MORE,1
NiceREAD MORE,1
GoodREAD MORE,1
Very good product..READ MORE,1
GoodREAD MORE,1
Very nice thanks flipkartREAD MORE,1
Good productREAD MORE,1
Good productREAD MORE,1
Nice productREAD MORE,1
Very nice 👍READ MORE,1
Amazing phoneREAD MORE,1
NiceREAD MORE,1
Good future and nyc mobile But camera is not goodREAD MORE,1
Awesome product from OPPO ....thanks for FlipkartREAD MORE,1
GoodREAD MORE,1
Minimum budget phoneREAD MORE,1
Very good productsREAD MORE,1
Very nice this mobile camera is bestREAD MORE,1
NiceREAD MORE,1
GoodREAD MORE,1
Indian no 1 phone Best phoneREAD MORE,1
NYC 🤞READ MORE,1
Good and very nice lookREAD MORE,1
Not a good phoneREAD MORE,0
Good and happyREAD MORE,1
I'm happyREAD MORE,1
Worth it to buy ..READ MORE,1
Very niceREAD MORE,1
ExcellentREAD MORE,1
This phone is good value of maneyREAD MORE,1
Lovely phoneREAD MORE,1
Nice....READ MORE,1
I Like oppok105g❤️READ MORE,1
GoodREAD MORE,1
Very good productREAD MORE,1
Good phoneREAD MORE,1
Very good product.  Loved it ☺READ MORE,1
Best mobileREAD MORE,1
Mobile not working hardware problem is thereREAD MORE,0
I like you oppo k10READ MORE,1
nyc productREAD MORE,1
Not a good productREAD MORE,0
GoodREAD MORE,1
NiceREAD MORE,1
"Thank you so much Flipkart ,very good smartphone thank you....READ MORE",1
Very nice this mobile camera is bestREAD MORE,1
Not BuyREAD MORE,0
MidiumREAD MORE,0
Not BuyREAD MORE,0
Nice oppo K10 5g mobile phoneREAD MORE,1
Nice phoneREAD MORE,1
BestREAD MORE,1
Camara is wonderfulDesign is also good.READ MORE,1
This phone really good camera quality is best . I am used this phoneREAD MORE,1
Superb picture qualityREAD MORE,1
Gaming phone.all rounder phone . Net speed is very fast this mobile nice prodectREAD MORE,1
Best mob. In this prise Osm cemrasREAD MORE,1
Good performanceREAD MORE,1
Oppo K10 8-128 SuperbREAD MORE,1
"Very Lightweight, Slim with Premium looks 😍READ MORE",1
Battery backup is very very bed continue using only 6 hours backupREAD MORE,0
SuperREAD MORE,1
Camera is good.👍👍👍READ MORE,1
Very good phoneREAD MORE,1
Sound are awesome 👌👌READ MORE,1
ABSOLUTELY BEAUTIFUL 🤗READ MORE,1
This mobile exlent 😎👌👌👌👌READ MORE,1
MidiumREAD MORE,0
Mobile Look is very beautiful & good quality product...READ MORE,1
this phone is very nice and camera quality is better than for other phone This phone are very smoothly scrolling system and Bettey are very likely and pawor full Then i have very happy i really like this item 😍 Thickness and build quality are awesome 😎READ MORE,1
Awesome setREAD MORE,1
Best phone on this rangeREAD MORE,1
"Best mobile 📲,🥰🥰🥰😍😍READ MORE",1
Awesome phone in this price range..READ MORE,1
Good 👌READ MORE,1
Best phone everREAD MORE,1
AjeetREAD MORE,1
Very good productREAD MORE,1
Very nice fast delivery thank you flipkart...Amazing product...READ MORE,1
Very good experience with Flipkart..READ MORE,1
NiceREAD MORE,1
Fast charger not working after a weekREAD MORE,0
Amazing phoneREAD MORE,1
"Nice look and working fine Am using more a week, it's good actuallyREAD MORE",1
Nice product thanks Flipkart 🙏🌹READ MORE,1
Good phone just should come with super amoled displayREAD MORE,1
Good phone at this priceREAD MORE,1
Best phoneREAD MORE,1
Super mobile 👌👌❣️❣️READ MORE,1
GoodREAD MORE,1
"Description is wrong, I was looking for a different home with dedicated second sim slot. Overall experience of this purchase was not up to the mark.READ MORE",0
Indian no 1 phone Best phoneREAD MORE,1
GooooodREAD MORE,1
Good photoREAD MORE,1
GoodREAD MORE,1
Very beautiful mobile i love it 🤩😘READ MORE,1
"Battery backup not good as expected.after, 18hr battery backup after full chargeREAD MORE",0
Good one 👍READ MORE,1
Value for money.READ MORE,1
GoodREAD MORE,1
Vary bad camera and displayREAD MORE,0
Not goodREAD MORE,0
Very goodREAD MORE,1
GoodREAD MORE,1
Very good phoneREAD MORE,1
Good oneREAD MORE,1
"I have been an iPhone user for last 8-9 years. As the price is keep on increasing, i thought of using Android now. After lot of search, i bought this phone. Slim design, screen size, quality, performance & battery are excellent. Will have to wait & see the stability of the phone. I never had any issues with iPhone in last 8-9 years.READ MORE",1
must byeREAD MORE,1
GoodREAD MORE,1
Very nice and beautifulREAD MORE,1
Not a good phone for camera and selfie 🤳 lovers. Otherwise battery display sound n features are really awesomeREAD MORE,1
Very nice productREAD MORE,1
Very bed experienceREAD MORE,0
Best PerformanceREAD MORE,1
Oppo K10 phone to good too muchREAD MORE,1
GoodREAD MORE,1
Good productREAD MORE,1
Very niceREAD MORE,1
Best smart phone this range... 👌 👏READ MORE,1
"Worst product phone keeps restarting often, and camera quality is worst , display not looks like original, sound quality worst it making worst noise on playing songs. Don't buy at all. Go with other brandsREAD MORE",0
Amazing👍 lokREAD MORE,1
Not battery backupREAD MORE,0
It is very good mobile l like the mobile very much the performance of camera and processer is so good i like it very much value for moneyREAD MORE,1
"Worest mobile, even 10000 mobiles performing well, I feel this is failure modelREAD MORE",0
Phone is good Camera quality is good Battery backup is goodREAD MORE,1
SuperbREAD MORE,1
Worth For Money . Nice handset and very good stylish and User free and Display is good.READ MORE,1
Value for money excellent conditionREAD MORE,1
Worth for the money.. But exchange cost of my Oppo A5s was very low.. anyway I will be happy for my Oppo K10 thanksREAD MORE,1
Overall good productREAD MORE,1
Very good quality super mobile phoneREAD MORE,1
Good 👍👍READ MORE,1
Useful and beneficial device.READ MORE,1
Camera worstREAD MORE,0
GoodREAD MORE,1
Good productionREAD MORE,1
Very good phoneREAD MORE,1
Don't go to buyREAD MORE,0
Mobile phone good but fraud sailerREAD MORE,0
NiceREAD MORE,1
Good product but some time while hang this mobileREAD MORE,1
VgoodREAD MORE,1
Good productREAD MORE,1
GoodREAD MORE,1
Very slim.READ MORE,1
Very goodREAD MORE,1
Nice productREAD MORE,0
OutstandingREAD MORE,0
Very niceREAD MORE,1
Very goodREAD MORE,1
It's better but camera Front kwality is not goodREAD MORE,0
Cheap and bestREAD MORE,1
GoodREAD MORE,1
Avg phoneREAD MORE,0
This phone is very badREAD MORE,0
Camra quality goodREAD MORE,1
Best of moneyREAD MORE,1
Battery porfamance ia very poorREAD MORE,0
Supper very nice mobileREAD MORE,1
Nice and good DeliveryREAD MORE,1
Good phone love you 😘💖😘💖READ MORE,1
Best phoneREAD MORE,1
"So super phone very nice ,,🥰🥰🥰Low cost Seve for money 💸READ MORE",1
NiceREAD MORE,1
Performance is good .but should me change display quality and camera in displayREAD MORE,1
Camera poorREAD MORE,0
Low price Full Future PhoneREAD MORE,1
Awesome 👍READ MORE,1
Awasome productREAD MORE,1
Very niceREAD MORE,1
AsomREAD MORE,1
I'm happyREAD MORE,1
"It's really amazing performance like speed, soft touch, camera and style. Worthy mobile with this priceREAD MORE",1
Good productREAD MORE,1
Good phone ☺️Nice production 👍                .❤️❤️                           .              🖤READ MORE,1
Nice camera and battery also not bedREAD MORE,1
Nice phoneREAD MORE,1
GoodREAD MORE,1
7 days experience bu not good PhoneREAD MORE,0
Not that much good..body heated too much after first charging...look is goodREAD MORE,0
Camera is not like 48mpLike that 8mp back cameraOther wise all is best 👍READ MORE,1
Vari goodREAD MORE,1
Best product mind blowing smartphoneREAD MORE,1
I have been using this mobile for 7 days.Camera quality is extraordinaryBattery backup .... good RAM & ROM is awesome in this price range.Over all good mobile value for money.READ MORE,1
Nice product best quality 👌READ MORE,1
Good to buy.. awesome performance....best budget mobile...READ MORE,1
Nice phoneREAD MORE,1
Good itemsREAD MORE,1
Good phoneREAD MORE,1
I'm happyREAD MORE,1
Not a good phoneREAD MORE,0
GreatREAD MORE,1
Nice mobile is so goodNice looking this mobileREAD MORE,1
Best mobile phoneREAD MORE,1
Vffdszu goodREAD MORE,1
Camera and display was not goodREAD MORE,0
SuperbREAD MORE,1
Over heating after first charge. No back up .may be a defective product .otherwise lookwise very nice.READ MORE,0
The phone comes with a hybrid sim slot. So you cannot put two Sims with memory cardREAD MORE,1
good phoneREAD MORE,1
Nice phone good features best in price.READ MORE,1
GoodREAD MORE,1
"Phone hang sometimes, performance low, processing late, only looks is good.I don't recommend to buy this.READ MORE",0
Good productREAD MORE,1
Echo is Coming when we talk someoneREAD MORE,0
Excellent mobile... thankyou so much for FlipkartREAD MORE,1
Nice phoneREAD MORE,1
According to money 💰 nice feature and amazing qualityREAD MORE,1
"Ohh my God, unbelievable at this price, everybody saying display need to improve but i understood that they are saying without using this mobile, everything superb even display go for itREAD MORE",1
Bad qualityREAD MORE,0
It's better but camera Front kwality is not goodREAD MORE,0
Good morningREAD MORE,1
Look like a boldREAD MORE,1
Good Quality productsREAD MORE,1
