Reviews,Verdict
WowREAD MORE,1
"I am giving it 5 stars because it is the best ever smartphone in this price range. Just 1 drawback is it gets warm very quick and too much but it is bearable and it can be fixed via update. Although, Xiaomi has fixed this issue to about 20% in their latest MiUi 13.0.5.0 update. You can buy this phone without thinking for 1 second.READ MORE",1
It is very very nice and it's is Battery 🔋 performance is good. it can for 2day and it performance of the clip inside super more faster camera also good. Display is very good. Simply photography post superstar awesome picture clip. ☺️READ MORE,1
not great.. facing some network issueREAD MORE,0
NiceREAD MORE,1
Best camera📸Performance 💥Battery good Good performance BGMI 🔥🔥Poli....poli...💥💥READ MORE,1
"Excellent mobile ,Value for money , Redmi note 10pro series Oosmm....READ MORE",1
Awesome mobile Camera is too good Thank uuuuuREAD MORE,1
SOFTWARE ISSUEREAD MORE,0
Sensor problemREAD MORE,0
"Very good phone, working is very fabulousREAD MORE",1
I am satisfiedREAD MORE,1
It performs good. Design is awesome. Camera quality is also good. It also charges quickly.The amoled display is the main highlight it performs marvelous. Best device at this price point.READ MORE,1
Excellent phone..READ MORE,1
Vera level phoneREAD MORE,1
I want to return this productThe device is overheating Battery performance is very lowI just exceeded one day of return policy please let me know if I can place replace order? Thanks in advanceREAD MORE,0
Continuous hanging issue and automatic switch on & offREAD MORE,0
Very bad quality of camera a piece of only showing display or nothing moreREAD MORE,0
Product is a goodREAD MORE,1
Not up to the markPhone Hang on 2nd dayNothing on phone No apps zero memory uses And this device hangsREAD MORE,0
Good redmi note 10 pro for rop and topREAD MORE,1
Exchange scam IPhone 5s It model 2019I didn't use at all my phoneWith small scratch 2100 worth phoneFlikart --1500Totally disappointedREAD MORE,0
I love❤ this mobile Good 🎮 Gameing phone Thank you Flipkart Camera 5/5Battery 5/5Display 5/5Sound quality 5/5😍😍😍😍😍🥰😍😍😍😍😍READ MORE,1
Charge is very very poor and for my opinion please don't waste your money on this.READ MORE,0
Superb phone and value of moneyREAD MORE,1
GoodREAD MORE,1
Not recommended to buy because the battery gets heated very fastREAD MORE,0
dont but buy this guys the phone has frizing and hanging problem also they dont help they will not replace the phone so dont buy thisREAD MORE,0
NiceREAD MORE,1
Very good phoneREAD MORE,1
Nice phoneREAD MORE,1
NiceREAD MORE,1
GoodREAD MORE,1
Worst phone and worst night mode. Pix get so daarkREAD MORE,0
Nice mobileREAD MORE,1
Awesome phone in this price. Display too much good to express. Camera is awesome to click. Performance uff best. Battery not so good to sustain. Overall awesome experienceLoved it😍😍😍READ MORE,1
"Pros:- 1. Awesome design, with glass finish at back. Nabulae blue color is to die for.2. Was worried about weight, but its design is so good , it doesnt feel so heavy. Not very wide and easy on hand.3. Performance is adequate. No issues of hanging or lagging. Apps open fast.4.  Screen is gorgeous. 5.  Camera are good for the price.6.  Battary backup is great. Cons:- 1. Just wanted it to be a little more compact. (Less tall) :-)READ MORE",1
After 2 month mobile not workingREAD MORE,0
I want to complain about this phone camera It is not working properlyREAD MORE,0
Poor phoneREAD MORE,0
GoodREAD MORE,1
Charging is not good ....READ MORE,0
Poor quality back camera not at all satififiedREAD MORE,0
Not expecting as expected performance at this price range 17k. Poor Camera Quality & Mobile heating issueREAD MORE,0
Mobile is not betterREAD MORE,0
Batter charge is not capable. Charge is down fastly. I think my item only or others also same problem? I want change the this item. Only battery is a main problem.READ MORE,0
Perfectly fine phone from redmi. And safely delivered by ekart facility.READ MORE,1
Lot of Bug in many app. Not recommendedREAD MORE,0
"DON""T BUY THIS PHONE HARDWARE AND SOFTWARE PROBLEM FACE .. PHONE AUTOMATIC OFFREAD MORE",0
Best camara 😃READ MORE,1
Humble request please please do not buy this phone. After buying the Phone I am hopeless and don't believe flipcart.READ MORE,0
Very very very very bad quality 🤬🤬😡😡😡😡😡😡 don't buy this product ..READ MORE,0
1.camera good2. Battery v good3. Display good4.performance good5.sound excellentREAD MORE,1
Waste of money.... Very bad product.... Mobile heating and hanging problem.Work very bad performance.. so don't buy this mobile....READ MORE,0
