Reviews,Verdict
Please buy this product very nice productREAD MORE,1
"That's not to say VIVO phones aren't good quality; they really are – especially if you go for its flagship and mid-range options. From around 2018 onwards, VIVO's quality control and finesse improved dramatically. It now makes some of the most durable and reliable phones on the market at this price point.READ MORE",1
Nice productREAD MORE,1
AwesomeREAD MORE,1
Nice phone..In low budget...READ MORE,1
very slow...READ MORE,0
OwsmREAD MORE,1
This phone is very good 😊 and i like this camera all so because this camera is so good and battery backup is so good and i am so happy i have got this phoneREAD MORE,1
Product is not working 😞READ MORE,0
Touch not work properlyREAD MORE,0
Bad phone hanging issue don't best your moneyREAD MORE,0
"Nice phone with nice camera,nice battery performance,processor is too good,phone design is very well and slim.But only one thing is not good front camera position.(Using from 24th March 2022).I recommend to buy 6/128 .READ MORE",1
Good phonesREAD MORE,1
Value for moneyREAD MORE,1
Back press very hard.after new update back press button issue is solved.Display is very very poor. Display should be AMOLEDAll other is ok.READ MORE,0
Phone is bestREAD MORE,1
Very good phone in this price range Amazing experienceCamera Quality is superOverall goodThanks vivo.Vinay MishraRewari HaryanaREAD MORE,1
Best smart phone 5g by Vivo..........READ MORE,1
Very badREAD MORE,0
Very nice smartphone for daily useREAD MORE,1
Good phoneREAD MORE,1
Vivo T1 5G.  Good looking thank youREAD MORE,1
Camera 📷 very good quality& back side 👌👌READ MORE,1
Camera not goodREAD MORE,0
"Hanging issue, call history disable issue, Bluetooth connectivity issueREAD MORE",0
Very good mobile phoneREAD MORE,1
Good phone in price segmentREAD MORE,1
Nice phone and fast delivery within 1day.READ MORE,1
GoodREAD MORE,1
GoodREAD MORE,1
Display is worst touch is very slowlyREAD MORE,0
Not working properly. Phone is hanging without any reason. Kindly don't buy the phone. Flipkart also not supporting after buying.i am really disappointed with the service. Not getting the service even though i bought it before 1 months.READ MORE,0
GoodREAD MORE,1
Camera low CowleyREAD MORE,0
This phone performance in very bad display touching not working. Any person no purchase this phone and Flipkart seller bad servicesREAD MORE,0
decent phone in this price range 😊READ MORE,1
Awesome experience... camera mind-blowing... battery speechless....READ MORE,1
"Not worth with the price , better can choose oppo k10 mobile instead of this mobileREAD MORE",0
Tuch is a very poor qualityREAD MORE,0
Worst experience from FlipkartREAD MORE,0
Very bad screen touchingREAD MORE,0
Looking smart and lightweight phone.READ MORE,1
Product kiss very bestREAD MORE,1
Touch is very bad dont buy thisREAD MORE,0
ExcellentREAD MORE,1
This phone cannot work properly only after one month...READ MORE,0
Very good qualityREAD MORE,1
Product Is Very Good And Delivery Is FastREAD MORE,1
Awesome camera during daytime. Fast charging and. Don't play game but it's super smooth.READ MORE,1
