Reviews,Verdict
Awesome quality in priceREAD MORE,1
Hands down.... This is the best laptop under 60kREAD MORE,1
"Good laptop, Booting time so fast 10sec .... Value for many speakers are average and one thing there is no another slot for upgrade a storage only one.. In future we update the storage we remove present ssd and then add another... Best laptop, if u have 55k tight budget and gaming, office work u go for it... Best laptop💻💻READ MORE",1
Performance is great the display has bleeding problem (visible in dark environment ) build quality is not that great but great at this price segmentREAD MORE,1
"I'm writing this after a month of usage (gaming+editing+office+coding)Pros :1) Ryzen 5 5500u is way better than the older 3500h and you can actually feel the difference (my friend have 3500h variant). 2) 1660 gfx card under this price segment is a bang for buck. I had no problems playing AAA games with maxed graphics at 50+ fps. Older games like GTA 5, CSGO etc are smoother than ever. Even Minecraft with heavy texture packs runs smoothly.3) Editing ofcourse you can edit efficiently as the...READ MORE",1
Awesome 👍👍READ MORE,1
Finally my problem solvedREAD MORE,0
Just a beast🔥🔥READ MORE,1
"Product is Good but few Problem you will persist id taking this for your Daily Use. 1. No Keyboard option id you are using this as Tab. Without Attached Key board you can only scroll you can not type2. 32 GB Memory is not sufficient, coz 18 GB already took for OS3. you can only use this for Song Video and Browsing (Browsing with only Attached Keyboard)4. Very Less Sound, Compulsory you have to Use Ear Phone, Speaker is not up to the markREAD MORE",0
The delivery speed is really good and the packaging is really goodPerformance of the laptop is really niceREAD MORE,1
Very amazing porfemenceREAD MORE,1
Great laptop for all works including gaming.READ MORE,1
"Nice product. For daily Usase and normal gaming , but their weight is more due to gaming laptop .READ MORE",1
"Pathetic...Never expected such product from a big brand. Moreover, their service center...well out of words to describe how bad it is.READ MORE",0
Nice...go for itREAD MORE,1
Very nice laptopREAD MORE,1
Value for money. Every aspect of the machine is optimised right from display to battery. Highly recommended.READ MORE,1
Worst product and worst service from FlipkartREAD MORE,0
one of the best perfroming laptop under 60k..value for money and ryzen 5500u is one of the best overall performing cpuREAD MORE,1
I am satisfied 🙂READ MORE,1
Best performance laptop in this priceREAD MORE,1
Its really a great product at this price range 👍READ MORE,1
Reviewing after 6 months of usage.... Best buy tab....READ MORE,0
Review after one week of using:-1) This laptop is a mid range beast.. You can have a great gaming experience and also 4k video editing without any frame drop... 2)Build quality is not that great but it's good for this price range you can't expect more.3) Sound Quality is average but comparatively its acceptable. you can use earphone for better audio.Next Update after 3 months of use.🙂READ MORE,1
Best one below 65k maybe 70kREAD MORE,1
"The screen doesn't work and when refund was requested, the flipkart team kept on delaying the issue further and further. We lost the brand box the laptop was in hence they did not refund it.Please escalate the matter and refund the laptop without the brand box.READ MORE",0
Good laptop first laptop was having battery issue got replace easily i made video of issue including serial number of laptopNew laptop is pretty good working properly and excellent performance till now speaker is poor though.READ MORE,1
"Worst experience with this product... very disappointed.  ... heating problem in just 1 day.   Battery not work more then 2 hrs, ram is too less ..  its just like a baby toy.READ MORE",0
"After a month of use the performance of the laptop is good, played Witcher 3 and Dragon Quest faced no lag, no heating problem. Happy with the performance.READ MORE",1
Great product at this price. Best hardware for engine. Instant render of 4k videos in premiere pro. Suitable for all sort of editing.READ MORE,1
the item is worst the quality of product is worst and the sound of laptop and table is very very very low all round worst productREAD MORE,0
Best one can get in this price...READ MORE,1
I bought this product with bajajfinserv EMI.1ly 2emi completed. Still 4pending. But product is not working.very worst product from Acer...READ MORE,0
"great laptop for gaming and coding and it's quite fast as well 1   boot time is about 20 seconds only  2   keyboard is good 3   display is good but it's 60 hz  4   processor is beast and better than any intel I5 5   GPU is good as well i was getting 60+ fps in gta 5 on ultra settiings, in csgo around 150 fps on medium settingsoverall a great laptop at this price range .READ MORE",1
Very Happy..Nice LaptopREAD MORE,1
Best out of the box. Beast performance. Only one drawback: Speaker sound is very lowREAD MORE,1
Worth for moneyREAD MORE,1
Excellent performance. I would request Acer to improve the storage capacity or make it more customised.READ MORE,1
"Awesome laptop in this price range. I am giving this review after 1 year 3 month. Superb performance, looks and features.Everything is fine and I love the laptop. It performs all tasks efficiently and gives a power backup of 6 hours. I switched from HP 1000 with Intel Pentium Processor to Acer Aspire 7 and it feels extremely fast to use this one. But it won’t support extreme gaming requirements. For moderate gaming it is awesome, just extend the ram if needed. Updated: Still after a year of...READ MORE",1
wonderful laptop for person who want to buy a laptop around 55k and who want to work like office software  gaming and normal use as wellREAD MORE,1
"Just delivered early in morning using for continuously 5 hr so far so good I'm transferring files from my old laptop to this one and the experience is good i will write a 1 week review later on but if u getting it for 55,990 or less go for it....READ MORE",1
"Excellent product Pros1. Good performance, can run most games in high graphics. Very fast for normal use quick boot within 2 sec.2. Good displays resolution and color density.3. Excellent  heat management: max temperature  reached in high graphics is 70degree. Medium graphis temperature  is always nearly 60 degree. Temperature  goes down as soon as we leave the game. That means the cooling system  is very efficient.4. Upgraded to windows 11 and running  smoothly.5. Getting complimentary...READ MORE",1
Best gaming laptop under 60K. Just awesome ❤️READ MORE,1
Worst product hinge broke within 4 - 5 monthsCannot get spares easily have to wait for two to three weeksREAD MORE,0
Laptop received in good condition.Battery backup is very good.Speakers are just ok.Display and looks are awesome.READ MORE,1
"Great product, can't expect more at this price.I'm mechanical engineering student. I needed the laptop that can handle solidworks and some simulations. Battery is also good because of u series processor.READ MORE",1
best value provider under price segment of 60kREAD MORE,1
Really very good for studentREAD MORE,1
performance is awesome just try it guysREAD MORE,1
A good product for the priceREAD MORE,1
"The device that I got was not even getting on, And very bad customer experience from Acer, any way Flipkart has done such a fine job with the return, even though the technical person from Acer didn't show upREAD MORE",0
"The packaging was really good, no scratches at all!I am using this for 5 days now!! Playing valorant 4-5 hours no problem at all  . Everything is smooth af.No cons to be found by me!! All good! Best value for money entry level gaming laptop! ♈ 5starREAD MORE",1
Worth for moneySpeed is awesome bcz it has SSDBattery life is goodDisplay is little bit yellowish but it's okay for regular useREAD MORE,1
Item is very badREAD MORE,0
Good laptop for work and gamingREAD MORE,1
fully satisfied.READ MORE,1
Performance wise there is no lag perform very well amd ryzen 5500 plays very good role over hereThere is no heating issue while you are using normal softwares i tried gpu full performance with wordlist manipulation it will get heatedup Within 30 minutes Except this no problem with laptop Booting time just within 8 to 10 seconds Battery for normal usage 4 to 5 hours for heavy use 1 hours to 1 and half hours may expect Worth for this price rangeREAD MORE,1
Don't look at reviews one of the best laptop at this price range.Performance: 4.8/5Display:4.5/5Battery:4/5Value for money:4.5/5Overall:4.5/5READ MORE,1
BetterREAD MORE,1
NiceREAD MORE,1
"I've had this laptop for a month now and I'm all praises for this one. The hardware is the best you can get at this price point. The battery backup is pretty good, and in my one month of usage I've never faced any heating issues. The matte display is great, but the brightness is not adequate for outdoor usage. The speaker quality and sound is pretty decent too. Also, the keyboard is a little compact for my liking (most people won't find that to be a problem). But I must add that the camera qu...READ MORE",1
very bad processor.READ MORE,0
Working nice👍👍👍👍READ MORE,1
Beast Beast Beast Processor🔥🙏💯RYZEN 5 5500UFast SSD🌟🌟🌟 421 GB FREE 52GB USED TOTAL 473GB GOOD DESIGN THOUGH IT IS ABS PLASTICExcellent MicrophoneSound has quite bass and are good if installed the realtek audio driver - loudness equalization onNo Fingerprint SecurityBelow Average CameraNo Bag givenREAD MORE,1
"Better than any other laptop in this price range.Battery is beast, never needed to carry my charger with me, since i am using it. The processor and gpu combination is ultimate. I am able to play all games from valorant to Warzone. No Heating issues, even while streaming these games on yt. But, obviously heavy games like warzone and apex legend, lagged for those who watched the stream a bit. Otherwise, streaming Valorant or Csgo was a delight. Completely, all in one laptop.READ MORE",1
"Best value for money gaming laptopI've played genshin impact, fortnite, nfs heat, portal and all worked seamlessly. Works lile a charm at Excel and ppt. Battery lasts 4-5 hrs for light work and 3-4 hrs with games.READ MORE",1
Super productREAD MORE,1
"Amd Ryzen is way to go with laptops, it's performing neck to neck with my Acer predator i7 version from year back. Given its 30k lesser and has lower version of CPU. Excellent for daily tasks and browsingModerate for design workAll right for video editingOverall it's quick and good heat management with decent battery.READ MORE",1
The best in this Range..READ MORE,1
Battery bulged after 3 years . The whole pc shape bulged along with the battery.  Screen also became dome shape.READ MORE,0
Excellent product at 50000(Inc cashback). Laptop is bit heavy but performance (Heavy development application run smoothly) and display is quite good(Sound is average). Very fast as compared to other Laptop in this range.READ MORE,1
Not good display Screen bleeding problemREAD MORE,0
Product is so good but the delivery was too lateREAD MORE,1
It's a best productREAD MORE,1
BEST VALUE LAPTOPREAD MORE,1
"October 2021.Bought it for 51k. Good deal for upto 55k. Everything is perfect abt the laptop only con i found is the overtime durability of the hinge or it can only be the the tightness of it for easy one hand opening (i don’t think there will be problems with it)because it feels kind of flimsy, rest of the build quality is good. Definitely use a cooling pad if u r a regular heavy user or gamer.READ MORE",1
