Reviews,Verdict
Nice laptop with good design and very fast .READ MORE,1
Slim and light laptop Performance was also Good.READ MORE,1
Worth for moneyREAD MORE,1
All functions are very good and additional finger printREAD MORE,1
Value for money Laptop for Average students Use battery quite average but upto mark about 4-4.30 hoursmall edges on display Looks really good 512SD totally worth with this price rangeREAD MORE,1
Good machine for students .READ MORE,1
"Dear Customers,Packaging from Flipkart was really worst, it was just packed in a box, bubble wrap could have been added to avoid shaking, overall disappointed with the packing.I'm really happy with this laptop, I have been using this laptop from past 20 days, laptop is really very fast due to i3 14th generation, 8GB Ram, 512 GB SSD, Clock Speed of 3.0 GHZ which boosts up to 4.0 GHZ etc.Backlit keyboard is very attractive, design of the laptop is awesome, battery backup is also very good, M...READ MORE",1
its features are very nice and great it has 8gb ram and 256gb SSD windows 11 home screen and very light laptop and its weight is 1.80kg and MS office 2010 is very sign and lively it is very fun to run and its features  It is also very good thank you flip kart the price is a bit high but it is good according to that.THANKS FLIPKART AND FLIPKART TEAM.READ MORE,1
Go forREAD MORE,1
Good product but battery is not good..READ MORE,1
"Best in the market, go for it👍READ MORE",1
"Processing speed , internet, graphics, in hand feel all things are top notch.... But it's jst battery that drains very fast . Only cons of this laptop.READ MORE",1
Go forREAD MORE,1
"Looks like a good laptop at first impression. Word, excel and PowerPoint is included with the laptop. Will update the laptop after few months of usage.READ MORE",1
Well if you are looking for a laptop with media consumption and normal daily casual tasks then go fot it.READ MORE,1
"Budget King right now, it is having 8Gb RAM, i3 11th Gen, and 512 SSD  in this much amount.The battery is also good in normal usage, it gives 4.5 hrs of backup and thanks to 65w fast charging also.Bootup is very fast, in 5-7 secs only.The sound is Normal because speakers are placed downside of it, but it sounds ok and clear when you place it on the table.The display is also good and the overall design is so light to carry.READ MORE",1
Nice laptop . The look is awesome. Though plastic is used but it is a good quality plastic. The keyboard is very clicky and the backlit keyboard is extremely good. The photo that i have shared is the middle backlit u can go also one level up than that. Ya it is not for gaming. The display is also very good.READ MORE,1
Super exlent tqqqqqREAD MORE,1
Better built quality than othersREAD MORE,1
SuperREAD MORE,1
"Bought it for light weight tasks - watching video, Netflix, YouTube, and MS Office work. It's been great for past couple of weeks. Enjoying the Full HD screen. Only con with the screen is that it reflects light so best to turn your screen where the light source falls behind the screen. Waiting for Windows 11 hope it will handle it well.READ MORE",1
Battry is disgusting.READ MORE,0
itam is not. goodREAD MORE,0
All functions are very good and additional finger printREAD MORE,1
The laptop looks awesome.Very fast shutdown and boot up.Sound of the speaker is very clear.Battey backup could have been better.Ram 4gb for CPU and 4gb for GPU.Finger print sensor very fast working.SSD drive work really fast.Overall Value for money for student and office usage.READ MORE,1
Very elegant design and handy one.READ MORE,1
"Writing this review after 3 days. This laptop is amazing and working very good till now, laptop with these specs make itself a very Worthy product for students...I would definitely recommend it to buy if you're a student.It has met all my expectations but the issue why I gave it 4 - Stars was it's battery issue,, seriously believe me it drains quickly and gives you around 3-4 hours..Though I  understand that there are always sacrifice and compromise in order to gain something better...overall...READ MORE",1
Awesome look and performanceREAD MORE,1
Trust me in this price this is the best laptop ever.READ MORE,1
Its value for money product but battery backup 🔋 is not that much good .READ MORE,1
SuperbREAD MORE,1
GoodREAD MORE,1
"Delivered two days before. Finalized hp i3, 257ssd, 8 gb, initially. But this laptop blowed away HP. What a masterpiece. Hope it doesn't lag in heavy programming. Though it looks a bit smaller than in picture, it's very thin and elegant. Go for it when price is around 40k.READ MORE",1
Good machine for students .READ MORE,1
"Hi all, I'm using this laptop for last few days. As I was looking for sleek laptop with good performance it satisfied both. Laptop design was really cool. Performance is good and fast. Really enjoying the experiance with this laptop. Value for money.READ MORE",1
No problems yet.. i like its overall performance..value for money..READ MORE,1
"Really really good laptop, used it for a week now. Boots up in <7 seconds. Really fast, seamless functioning. If you have an old laptop to exchange you can get it for a good price. Can play games to a moderate extent. Display is amazing, comes with backlit keyboardREAD MORE",1
Good product but it is heating on the back side so the overall product is good performance is better but battery is about  5to 6 hrsREAD MORE,1
"I have been using couple of week.its very fast..Take 4-7 sec to start and fingerprint is also very prompt, less than a second I guess. It comes with win 10 with MS Office 2019 and 1 year mcAfee.READ MORE",1
Classic one...light weight and easy to handleREAD MORE,1
This is a very good value for money product!READ MORE,1
Great productREAD MORE,1
"Just superb.  Display ,,,READ MORE",1
"This is my third mid range laptop purchase and absolutely loved it. Review after over a month :Pros:1. Great boot up speed within seconds2. Extremely fast response with multitasking3. Decent audio quality4. Plays multimedia/editing like a charm5. No heating/audible system noise at all6. Amazing Lightweight build/sleek7. Fingerprint response is greatCons:1. Very sincerely, haven't found any yet. I have used the system for my office work and coding which happens on VM mostly, so fo...READ MORE",1
ExlentREAD MORE,1
Very good product 👌👌👌 value for money 👌 👌👌 excellentREAD MORE,1
"Nice display 4.5 h battery backupPortable14.inch (easy to carry) , lightweightbest for office work,coding & for beginners ..Best laptop in this rangeWith fingerprint alsobut Microsoft has only word,excel,powerpoint for lifetime !!🤧🤧simply go for it!!!🤧Edited ; after 1years of usage..2hrs battery backup only..It has Expandable memory upto (128 Gb) ..i know you don't believe it..but it has 8 slots for expansion ..just go to task manager , click in performance and click on memory ...READ MORE",1
Must buy in offer better than i5 9th gen in this range..READ MORE,1
"Flipkart just took 2 days to deliver the product.I have used it now for just few hours, so here is the first impressions....Battery is great as of now.Display is great... vibrant and crisp.i3 11 th gen handles everything too easily.SSD is toooo fast...i have made a partition of  175gb for c drive.Design is also great.Comes with genuine windows 10 and ms office home & student 2019.As of now.... everything is great. Now let's see what happens after some time, I'll edit the review after ...READ MORE",1
Must buy for everyoneREAD MORE,1
This price range it’s super…..READ MORE,1
Some time display not working.READ MORE,0
SuperREAD MORE,1
Good product value for money. You can buy this it is usefull💕💕🥳🥳READ MORE,1
"Laptop was good enough for this range, but Flipkart delivery experience was very bad it takes 5day to deliver this...READ MORE",1
i3 11 th gen us good but it can't overclocked Display is awesomeFingerprint is good enoughBuild & chargeing is goodBattery is average nearly 3-4 hrsREAD MORE,1
"Value for money.It Runs very smoothly , display is amazing,Design also good,it looks premium Everything is fine but battery backup is not so good,U have to compromise for this,other wise it is amazing device at this price point.READ MORE",1
"The VivoBook Ultra 14 Makes For very Good Portable Work Laptop. Its compasct size and low weight  Make its very easy to slip in and out of most backpacks,and the SSD ensures that Windows is quick to resume from sleep whenever you need it.The Fingerprint sensor adds on extra layer of convenience,which we appreciate.READ MORE",1
It is just excellent at this price. Worthy Performance is high.READ MORE,1
Nice product and manages day to day operation wellREAD MORE,1
For Programmer this is very good. RecommendedREAD MORE,1
"I love this brand. ASUS never disappoints. This is my second laptop from ASUS and as always it has super good performance.Pros :- Full HD display...crisp and clear.- Except back panel, rest all parts metal- Lightweight- Premium design- Boots to windows in just 5-7 seconds- SSD, 11th gen processor and 3200MHz RAM...deadly combo.-No lag experienced even with multiple heavy applications running together for more than 5 hours ( Android Studio, Adobe illustrator, NetBeans, Adobe Lightroo...READ MORE",1
Just awesome Best for students.READ MORE,1
Awesome performance and looks very premiumREAD MORE,1
Excellent experience. Superfast booting. Value for moneyREAD MORE,1
excellent performanceREAD MORE,1
Thanku flipkart nice productREAD MORE,1
Penning this down after 1 week of usage ...Performance is good sound is good and I loved it .The product is upto my expectations ❣️READ MORE,1
AwesomeREAD MORE,1
Super product I'm very much happy with this prodect value for moneyREAD MORE,1
"Processing speed , internet, graphics, in hand feel all things are top notch.... But it's jst battery that drains very fast . Only cons of this laptop.READ MORE",1
Thanku flipkart nice productREAD MORE,1
"Slim and small ,very easy to handleWorking smoothlyREAD MORE",1
Its superfast. SSD hard disk boots this laptop in just under 5 - 10sec and shutdown in same time.Using for 1 mth for browsing and online course and its superb for normal daily usage.Battery is not grt but 80% charge lasts for around 4 hrs.Its not a Gaming laptop but basic Intel graphic card will make you play games in low graphic modes.14inch screen size light and handy.Speakers are at bottom which is a problem when kept on soft surface but if u r sitting on desk should not be a prob...READ MORE,1
A good leptoREAD MORE,1
Good product value for money. You can buy this it is usefull💕💕🥳🥳READ MORE,1
Nice productREAD MORE,1
Purschaed for my girl and best part of this machine is it turns on within few seconds it boots up more quickly than my macbook...she is damn happy... thankyou flipkart☺️READ MORE,1
Nice laptop.. fully satisfied...READ MORE,1
"At first , the screen showed some glitches ,but after the update its been working fine , although there were some cracking noise coming every once while using it ! But now noise frequency is minimal ! So overall its good , and what u want more in 40k .. i mean 512gb ssd , 11th gen i3 + fingerprint unlock .. its more than expected ! So i m good with the purchase !READ MORE",1
Great priced laptop with very good processor and SSD is awesome. Boot speed is just 05 sec. And no lag between work or playing games. Great laptop but average webcam but acceptable as I used laptop of 1 lakh with same quality webcam. This might be the nexus between laptop making company and webcam making companies.READ MORE,1
Good one..READ MORE,1
Best in class and budget!!!READ MORE,1
1. Design is some how looks cool.2. Battery is not good as expected.3. Fingerprint response on/off is terrific.4. Backlight brings eye catching look to laptop.I purchased 512 GB SSD at 40000 .READ MORE,1
All functions are very good and additional finger printREAD MORE,1
it's look is superbREAD MORE,1
Worth for moneyREAD MORE,1
"Performance are very good smoth speed and work, but bettary fully charged used only 4-5 hours maximum...READ MORE",1
All functions are very good and additional finger printREAD MORE,1
"The system gives solid performance...but its not for those who work while commuting, as battery backup is of around 5 hrs (normal use).READ MORE",1
Laptop design is compact. 1. Display very good2. Sound good and clear not loud3. Laptop speed awasome4. Battery backup 5 to 6 hours normal use5. Build quality very goodREAD MORE,1
Best laptop at 40000READ MORE,1
Awesome in all aspects after 15 days of use just one thing that dedicated num key is not there rest all is superbREAD MORE,1
Superb one.Go grab it.READ MORE,1
I had bought it for normal work and it's fulfilling my requirementsREAD MORE,1
"Worst experience ever.Not expected this type of product. On the first day screen gone. 👎When you have many hopes & expectation from your 1st new laptop & finally when you received the order and within a few minutes you come to know that the screen stopped working.....""Never accepted this from Flipkart""READ MORE",0
product is Good working too fast due to ssd.....screen size is small but sexy.READ MORE,1
Multiple keys are not working on this laptop just after one month of purchase. It is impossible to work on this laptop . I have written this review using online keyboard .READ MORE,0
This price range it’s super…..READ MORE,1
GoodREAD MORE,1
Just next level very very very vet very value for moneyREAD MORE,1
Worth for moneyREAD MORE,1
Classic one...light weight and easy to handleREAD MORE,1
It's a really good product.👌This laptop is just awesome.READ MORE,1
Overall performance is good. You can go for without any doubt.1.Booting in 5 to 8 Second. 2.Nice display.3.Smooth keyboard with backlight.4.Battery  may need to improve.5. Light weight.6. Design is great .7. Multitasking laptop.8. McAfee is taking more resources. If you replace with light anivirurs system will be maintaining speed.READ MORE,1
Super product I'm very much happy with this prodect value for moneyREAD MORE,1
Best one below 40kREAD MORE,1
Good laptopREAD MORE,1
Good as expectedREAD MORE,1
"Everything good , but the only problem i faced is its a metal body so it scratch easily. I have found 4 - 5 small scratches in 2 weeks, but i didn't know how it got scratches. So buy a skin and protect it. Otherwise its a very good purchase 👍READ MORE",1
Very stylish and slim design . System speed is very very good . It boot up in 5 seconds . Very easy to perform multi tasking . Till now not faced any lag . Battery backup is also 5 hours on moderate usage .There is no keyboard backlight . Web camera quality is average Only 195gb space is available for user . Rest is used by Windows 10 and system apps .READ MORE,1
Bed sestemREAD MORE,0
Very fastREAD MORE,1
It's an amazing product in the range of 44k and specially it's good for multiple tasking and things and very fast things happen in secs. I would recommend everyone to buy this one if you have the budget of 44k kinda ..READ MORE,1
Just received the product today.  While start up and shut down it takes a very small time compared to old models. The boot up time is quick. The Performance of the Device is pretty good at price range of 38.5K.I am writing about helping people extend the warranty at INR 99 for additional 1 year and INR 999 for additional 2 years.Instead of buying warranty from flipkart or ASUS app in the Laptop buy it from ASUSPROMO.IN. Some people have written about small laptop. But they should be ens...READ MORE,1
Every thing is good except speakerREAD MORE,1
I had bought it for normal work and it's fulfilling my requirementsREAD MORE,1
AwesomeREAD MORE,1
Product was good..READ MORE,1
"Good display with decent viewing angles as well as battery backup. It is quick due to SSD and 8GB RAM, Camera is decent for an laptop. Keyboard is good. Fingerprint sensor is quick to recognize. Only thing which bothers me is it hinge. It is delicate and display part shakes a lot while typing in hand or kept under fan. Laptop is running cool so cooling solution is good compared to other laptops I used. Durability wise need to be very careful while handling. 8GB of RAM is good for now but ther...READ MORE",1
This is awesome. I love itREAD MORE,1
Good oneREAD MORE,1
Good as expectedREAD MORE,1
This is the best laptop in this price segment and this is the best in class.READ MORE,1
Satisfied with the product.👌❤️READ MORE,1
very nice product and very good serviceREAD MORE,1
Thanku flipkart nice productREAD MORE,1
Display is good Performance is goodDesign is awesome 😎Battery 🔋 5 to 6 hoursValue of money.READ MORE,1
This laptop is very good working and Thank you. The  fingerprint sensor absorbs very fast and good and this is awesome but it is heated very fast.READ MORE,1
"Excellent performance, boots in less than 5 seconds.looks suberb better than my 7th gen i5 lenovo ideapad and fingerprint sensor is just awesome. No lags or anything. Display is superb. Overall more value for money because of performance.READ MORE",1
"As compare to hp this is really better machine... Backlit keyboard, FHD screen, 512 ssd, 8 gb ram, premium body, narrow bezel sides, light weight, finger scan lock...Really lightning fast..You just touch the finger scanner and it will take fraction of second to Start Windows desktop.. Really awesome!READ MORE",1
Best choice ...Battery performance comes up to 6hrDisplay is fantasticNo heating issueProcessor is good because of SSDFast fingerprint sensorCamera 4.0/5Looks great and best value for money laptop everREAD MORE,1
"A problem I faced during the primary usage was the keyboard not visible when viewed from various angles, it is because the markings are also grey ,if it was black it might have been more visible ,now the solution is we have to use the laptop very closely so the keyboard comes in direct eyesight.If u are a user that keeps your laptop at some distance and use it might become difficult to type. Overall bulit looks fine ,startup time was 1.8 sec , fingerprint sensor is good , display looks good.m...READ MORE",1
"This is one of the best laptop with oled you will feel that your eyes were colourful and enjoy the every frames.At starting I got little worried that lap got heat and trackpad mouse response is very less and sometimes that the mouse pointer is not moving after that I realised that all because of windows background updation after that, runs smoothly.No more heating issues and mouse pointer issue. Anyone have that same issue no need to worry it will be alright after the updates.The only...READ MORE",0
The performance is really good. It is suitable for students. If you want more storage then don't go for it. Battery seems to be quite good. Overall i am happy with this productREAD MORE,1
