Reviews,Verdict
"Laptop battery is not good, it’s coming around 2 hours where as it should have been at least 4 hours though it’s mentioned as upto 10 hoursREAD MORE",0
I am satisfied with the product.READ MORE,1
Nice laptopREAD MORE,1
"Laptops Body made by third class plastic , nobody can believe my laptops screen panel damaged only in one month when I was open the laptop just in simple opening no pressor or hitting ......READ MORE",0
Good to useREAD MORE,1
Though it is 8gb & 1TB I don’t know why it is working tooo slow even not yet 100gb is full.. Might be because of HDD don’t go for this use SSDREAD MORE,0
"Processor performance is good,very easy for carrying,and battery backup is 4 to 5 hours.. otherwise best Price for good productREAD MORE",1
NiceREAD MORE,1
This laptop is ossmmmmREAD MORE,1
product is good as per priceREAD MORE,1
I like it good product.READ MORE,1
"Best value for money  .Fast refreshing speed , decent camara qualityREAD MORE",1
It's extremely slow.Not at all happy. Need to return this productREAD MORE,0
Good Laptop For Basic Office UseREAD MORE,1
Dell is brand so pruduct performance is goodREAD MORE,1
Good but price is little high.READ MORE,1
I purchased the laptop for my daughter. The performance is awesome. Best buy value for money.READ MORE,1
SuperbREAD MORE,1
"Waste of money, bettery problem, HeatingREAD MORE",0
Please dont waste your money… After 2-3 months. The inches get damages automatically and and the display came outside the frameREAD MORE,0
Good one!!READ MORE,1
NiceREAD MORE,1
Sounds quality and Hardware best quality.READ MORE,1
Totally waste of money...it's not working...my laptop updated windows 11 ..then it's not working...READ MORE,0
Windows os asking licence key. Customer care service is not responceble. So many times i informed. But can not responce. Waste of buying online purchase. Laptop is working very slow. Dont buy online.READ MORE,0
Performance was very nice it has nice designREAD MORE,1
Very disappointed.... Laptop heating faster than its os.... Suggests all that dont buy this modelREAD MORE,0
Love it! This is my 2nd laptop and it's performance is amazing.  SSD increases it's speed.  Worth to buy.READ MORE,1
ExcellentREAD MORE,1
Seller is fraud. Please don't buy from  indospirit . He is selling defective pieces Even dell is not providing required services on time. Very bad experience.READ MORE,0
GoodREAD MORE,1
Since using it from 5 days acc to me it's best in 40000 segment in dell.READ MORE,1
Hanging issueREAD MORE,1
After 20 days usage  facing hinge issueREAD MORE,0
SuperREAD MORE,1
"Very cheap quality product,very very poor performance I ever seen please it's a my humble request to all of whoever seen my message please don't ignore.I know the worth of money so its my personal request don't go to buy thisREAD MORE",0
Good for daily use and look  is awesome..READ MORE,1
All good but heating issueREAD MORE,1
"All the specifications looks good , performance and speed also looks good.but only one thing is negative it's battery performance. 2hrs only the battery coming.This lap has i3 processor and works speed compare to i5 process . Worth to buyREAD MORE",1
Delivery product by girl was good and fast thanksREAD MORE,1
GoodREAD MORE,1
Value for money. Must buy. Running so smoothlyREAD MORE,1
Wonderful laptopREAD MORE,1
Very bad Dell laptop I had ever seen. After 6 months it was hanging and lagging. It's very difficulty to open it will take long time to open. 2 star's only for fast delivery.READ MORE,0
Wrting review after 15 days usage. Everything is good except few.1) Battery is no that much efficient2) Booting time is relatively lower than other ssd+hdd laptop3) it should have keyboard light.Rest is best & good.READ MORE,1
Speed is little slow. overall good quality.. could be better if use SSD hard diskREAD MORE,1
The keyboard is utter flop... Didn't expect such a worst quality. If flipkart is still encouraging this kind of sellers they will start losing the customers very soon.READ MORE,0
"Very satisfied with the spec of this laptop.Performance : 2 sec booting time because of ssd and not seems lag or hang while doing multi tasking. Design: Easy to carry, narrow border and light weightBattery: I'm getting average 5-6 hours backup(with wifi and bluetooth on)Sound&Cam : Perfect within this price range.Cons : Does not have backlit keyboard 😐Overall it's worth for money. No regrets! So, what are you waiting for ?! Go for it !!  💫READ MORE",1
GoodREAD MORE,1
Mind blowing…😊READ MORE,1
Don't buy this laptop ...trust meREAD MORE,0
Excellent build quality.READ MORE,1
OkREAD MORE,1
It's really great work design and sleem I boughd applied flipkart aREAD MORE,1
Still working goodREAD MORE,1
GoodREAD MORE,1
Good value for moneyREAD MORE,1
GoodREAD MORE,1
Nice product. Overall good and average budget laptop under 40k.. speed is good. Go for itREAD MORE,1
