Reviews,Verdict
Very good It's a beast at the price of 40kLoved it and also the cheapest ssd laptop offered by hp you won't find it anywhere else. Thank you Flipkart for quick deliveryREAD MORE,1
"Superb in every aspect, you can play games at 1080p battery and display us awesome, it has an upgaradble ram slot upto 16gb. You can extend the storage by using a SATA HDD or sata ssd of 2.5 inch. One thing I want to clarify is that although in specs it is written to have wifi version 5 but it actually comes with wifi 6.READ MORE",1
Best product. display is good.Touch pad Is slightly rough.Sound Quality is good.READ MORE,1
Just got this beast after 5days from ordering.This is the best  budget gaming laptop ever as this has the new amd processors ryzen 5 5600h just under 60k range with this gtx 1650 will perform more than you expected.checked everything after delivery everything was good no problems and tried valorant game for gaming performance it gave 130 + fps in high graphics.Its the best laptop for students and also who are intrested in gaming under 65k.. even best under 70k budget.Cons: screen wobbles whi...READ MORE,1
It is very good product from hp we have pursed it for normal use like photoshop and multitasking ang it give us better performance and batter backup is great it give 6-7 hours of backup.READ MORE,1
Bring one keyboard skin along with thisREAD MORE,1
"This is a Beast 🔥🔥, It's running smooth and gives high performance. Whenever you starting to use this Beast is always ready for hunting 😈🔥READ MORE",1
"It's the best laptop in its budget. I got it for 58000. I have been editing 1080p videos in DaVinci Resolve and it handles it flawlessly. There is no lag, delay or anything. Renders all of my full hd videos in minutes.There is no heating as of now after 1 month of purchase. In fact, the cooling system is so good that it does not even feel warm.I don't play many games but I have tried Fortnite and Valorant, and it handles both of them really easily. If you want a performance beast go fo...READ MORE",1
We are satisfied with the product. Value for money. No heating problem. Battery performance was good. Delivery was very late.READ MORE,1
"Writing this review after 1 week of usage.Everything is just awesome. Good for daily work and gaming. No complaints. Comes with Windows 11 home out of the box. But doesn't have windows office, which is the only fault. Else it lit🔥. And another thing which is lit is the backlit keypad, just love it.READ MORE",1
Worth of money..READ MORE,1
Just amazing !!!Nice experience with powerful processor... Very good battery backup (about 6 hrs).. in good price.. Just go for it !!!READ MORE,1
SuperbREAD MORE,1
Really Happy with the product totally satisfied with the laptop value for moneyREAD MORE,1
"Initial use seems good, i bought this one for my father and it's majorly gonna be used for zoom calls  and internet surfing, the quality of audio outputis good, mic reception is excellent. Thanks to the SSD it boots pretty quickly, better than going for a intel machineREAD MORE",1
Great Laptop with Great specifications at this price rangeREAD MORE,1
Awesome product in this priceREAD MORE,1
"This Laptop performance is good, and display and audio quality is also good, build quality is great and attractive, keyboard quality is just awesome, overall performance is fabulous.READ MORE",1
What I got laptop that's had internal issues so me return please be wearREAD MORE,0
I didn't expect 💞wow this is very good laptop and performance is nice and display ❤️also good but battery is average but it's backup around 5/6 hrs easily in low brightness in normal uses and gaming aroun 3/3.5. ❤️but good overall you can buy this laptop it's good. I will give 5 stars.🖤READ MORE,1
This is the best.READ MORE,1
Super and nice i love hpREAD MORE,1
Usb transferred speed not given 5 gbps that wrong some time max. 500 Mbps and some time hanging and speed 50 kb not a toll same line high speed and not proper copy paste so more time hangingREAD MORE,0
Super fast laptopREAD MORE,1
Nice laptop under 40kBut plastic quality litte badNice display & battery backupBoot in 5 secondOverall it's worth of moneyREAD MORE,1
Nice performance and faster than other brand No issues Everything is number 1 Best value for price in this range No doubt buy itREAD MORE,1
Wow... awesome product ❤️..I loved itREAD MORE,1
Very good productREAD MORE,1
Good qualityREAD MORE,1
Just go for itREAD MORE,1
Best in this price point ( i bough it in 56 k in bigbillion day )  battery backup is very low for simple work it can go for 4 hour max to max but for edting or gamming please use Direct power ( on charging) it get you battery well . And performance is top knotch no doubt . Screen is very smooth .READ MORE,1
wonderful product of HP.... brilliant performance overallREAD MORE,1
Nice and superREAD MORE,1
An amazing budget gaming laptop. Can easily run most of the AAA titles. Performance is great. A really good choice for under 60000 gaming laptops. Definitely worth it.READ MORE,1
Very Powerful Laptop and if you have 60k budget definitely go for this laptopAnd delivery was also very fast....😄READ MORE,1
NiceREAD MORE,1
I got it 39k best in market go for itREAD MORE,1
GoodREAD MORE,1
Super and nice i love hpREAD MORE,1
"Awesome product, display quality is really nice, it performs as per specs. It should be marked as best laptop under 70k, no other option in this price tag comes near to this beast.. A bug thumps up to HP.. Recommended.READ MORE",1
It gives HDD and sdd storage drive. HDD is effective for more storage and from sdd it works smoothly. Designs is very nice. It is working without changing just because ssd. I like this and happy to have this.READ MORE,1
Its a aweeeeeesome laptop under 60k.144 hz display consume more battery give 3-4 hrs battery backup but ya u can set it on 60 hz to increase battery backup.I found very very minute screen bleeding but ya thats normal Built quality is also at top notch though its plasticOver all its a all rounder laptop u can consider it under 60kREAD MORE,1
Got it today. The packaging was great and everything on the outside looks fine. The laptop works as smooth as butter. Just go for it if you need a good laptop with high processing power. Worth the money. Will update my review after a week's usage.READ MORE,1
This item most valuable Very good for cad designREAD MORE,1
Buy it without any question Too fast lappy.I am loving it 💖💖💖🥰READ MORE,1
Laptop is expensive for the price range but amazing delivery by Flipkart.READ MORE,1
Excellent performanceREAD MORE,1
Best laptop  💻 in this  BudgetREAD MORE,1
Best laptop under 40kREAD MORE,1
Gorgeous product 😍😍READ MORE,1
Nice productREAD MORE,1
Very nice laptop working fineREAD MORE,1
Very goodREAD MORE,1
Wow... awesome product ❤️..I loved itREAD MORE,1
Laptop charging slowly and in GTA 5 30 fps while game is in its default settings 7 days replacement time is very.lessREAD MORE,0
Just one word superbREAD MORE,1
Performance is super and it has fast chargerREAD MORE,1
GoodREAD MORE,1
Nice display and value for moneyREAD MORE,1
"Warranty period wasn't fulfill. Machine was slow. Battery backup wasn't good. No office, no antivirus, no google chrome.READ MORE",0
Cons Fingerprint magnetREAD MORE,1
Fantastic🤘😝🤘READ MORE,1
Bang for the buck Battery backup and display is very good.Boots in 5 to 6 seconds.But camera isn't that great.Best laptop in this range with both hdd and ssd.And thank you Flipkart for the fast delivery.READ MORE,1
"It's just amazing! Let me get the details here:• At this price it will be the best buy for office/casual use, average gaming (Haven't played any high res games yet).• It has 1 SSD 256GB and 1 HDD of 1TB. Windows is installed in SSD so the loading time (from turned off to start) is near about 5-7 seconds.• Usable Ram is around 5.86GB. 8GB is installed in one slot so another one is free to get another ram installed.• It is very light. It doesn't have a CD drive. Honestly, I don't think any...READ MORE",1
"The display is legit awesome...because of SSD the booting time in the system is 5 seconds approx. It's very good for online meetings, surfing and light-gaming...It has lifetime MS-Office Subscription. The sound is also nice. I didn't find any cons in the product till now. But, it doesn't have backlit keyboard which is mentioned Overall, very nice laptopREAD MORE",1
Very nice but noise of fan is little bit high.READ MORE,1
"Performance was great, Display and sound quality is good. When playing heavy games like Pubg it needs, it requires to connect the charges otherwise game lags and fps drop drastically. Please says build quality was not good but i really like the over-all built quality. Overall value for money laptop, Go for it if you want a top notch budget gaming laptop.READ MORE",1
Super Performance...READ MORE,1
Value for money.awesome profomance..READ MORE,1
Every thing is good  at this price rangeREAD MORE,1
this laptop is the best under 40kREAD MORE,1
NiceREAD MORE,1
"One of the beast at 41k. Every component is too balanced in it like ryzen 3 processor with m.2 NVME SSD very good display and speakers overall build quality is very good and due to integrated GPU you can play games very easily. I personally play GTA san andreas and achieve max 90fps no highest graphics.One more thing ryzen 3 with ssd is far faster than i3,i5 with hard drive. It will worth of money.READ MORE",1
SexyREAD MORE,1
Balanced performance in this price segmentREAD MORE,1
Very good productREAD MORE,1
Nice oneREAD MORE,1
"I am very disappointed with this product. I first ordered this and it hanged on the first day of arrival itself. Then i applied for replacement  and  after replacement of the product, again after 3 days it hanged during my online class. Now I`ve applied for refund for this product. Highly disappointed.READ MORE",0
"In this budget I think it is the only laptop that have 1tb hdd and 256gb hdd. So, when coming to battery it is okay for its price range. And it depends upon ur usage. For student it is best. Product Delivery is also good without any late and any damage. So. I think u can go for this produREAD MORE",1
Nice laptop &working wellREAD MORE,1
In that price range its awesome 🤘SSD speed is very fast than imagineLap design is also goodScreen 144hz is nice and quality of screen is very goodBut battery need to improveREAD MORE,1
Awesome 😍😍🔥🔥🔥🔥🔥🔥READ MORE,1
Very nice Configuration is great with nice costAlso got 1000 discount by hdfc credit cardDeisgn is as visible hereRunning speed is goodREAD MORE,1
Got this under 65k.... In 64k it's a great deal Performance is good.. because of ssd its very snapy... I'm a engineering student it fulfills my all needs .and in gaming scenario its op because of the gpu and cpu combo at this price range. I'll inform my gaming performance in details after some more testing. And one thing use this laptop for gaming on charging time...it gives more fpsREAD MORE,1
I loved itREAD MORE,1
Battery capacity is bit low but performance is still great though!READ MORE,1
Awesome laptop go for itREAD MORE,1
Smooth like butter 🔥READ MORE,1
Awesome laptop great performance really good for editing and gaming.READ MORE,1
Its classy... Just go for itREAD MORE,1
Great product at the price range .READ MORE,1
Osm product I like itREAD MORE,1
Performance is perfect. On and Off in 5 secs. Can also make phone calls after linking with your phone. Overall a good to go product.READ MORE,1
Good productREAD MORE,1
Nice but battery quality is not fineREAD MORE,1
Ryzen 5 is far better than i5 just go for itREAD MORE,1
I purchased this one but its hanging as switch on the laptop.READ MORE,0
"It's a great machine and it look decent. Without its violet backlit it look like a work station and with it look like a gaming beast. For the gaming I get more than 60fps in gta 5 on ultra setting. Processor is also a beast it can easily serve any workload, but only thing I don't like about it is that it get hot if played games or worked intensively for an hour or more, the fans are fast and loud so no performance drop or something but I am worried about the temperature. Other than that every...READ MORE",1
Screen bleedingREAD MORE,0
The speaker of one side is not working properly.READ MORE,0
"Using it for 10 days , almost good laptop , ryzen 3 is a almost fast processor than i3.booting time almost 11 seconds after it appears password screen. Os on ssd that make processing fast also.almost value for money .READ MORE",1
One of the best laptop with 1tb hdd and 256gb ssd. OS is installed in SSD that's why laptop speed is super fast. Just got it yesterday overall experience amazing. Will edit my review if needed after a month. Thanks FlipkartREAD MORE,1
"This is my first Laptop .I got pretty excited on the delivery day .After using 2months ,I am writing this review. Everything is nice especially I like the keyboard with purple backlight. Display is fine . Battery is bad  for gaming laptops , If you want more battery if you are always far away from charger plug u can avoid gaming laptops.For gaming still I need to figure it out . For programming it was awesome  . Damn sure everylikes it in this budget.Finally it is the killer in this budgetREAD MORE",1
Its just outstanding performanceREAD MORE,1
"After buying ,, within 4 months keyboard was not workingREAD MORE",0
"The best thin and slim laptop at this range, with all features.had to cancel ASUS Vivo book while in transit after going through HP Ryzen 3 specifications..Good for home and office uses.. Mesmerising look...Brilliant performance..Only drawback is no keyboard backlight..READ MORE",1
"Played valorant  so far, got over continues 190+ FPS on high settings...READ MORE",1
Superb experience.READ MORE,1
"Bro what a performance, I really loved it and best value for money .I recommend this to all who budget is around 60,000.READ MORE",1
Package and delivery was good! The laptop looks premium the specs on the paper also are insane! Will update this thread after a brief usageREAD MORE,1
🍏🍎🍎🍎 too smooth too good. Best from HPREAD MORE,1
I got it 39k best in market go for itREAD MORE,1
Good quality and nice lookingREAD MORE,1
I got it for 55k and in this range this is very best.READ MORE,1
"Super cool ryzen 5 speed testAnd worth money  I have parves 57,540 good priceLove it bcz doing bestREAD MORE",1
Best budget gaming laptop Impressed with the overall performance of this laptop. Have been using it over two weeks or so and it performs really well. The ryzen processor runs cooler than the intel variant. Can upgrade this to 16gb with the additional ram slot. Make sure to opt for open box delivery and check the authenticity of the product.Pros:Display is brilliantBattery is pretty goodNo lag issues faced with most games Soft touch keyboardLooks fantasticCons:Audio intensity is a b...READ MORE,1
I to be specific don't have a problem with the product but the service was worst ever! The item got delayed and I had to go physically to the courier warehouse to collect the product. Worst experience ever!READ MORE,0
Excellent productREAD MORE,1
V V GoodREAD MORE,1
Jst awesome..... Ready In jst 7 sec...😍READ MORE,1
