Reviews,Verdict
"I have bought it in last year oct and in very next month we observed sound for web calling is very low, to over come it we started to use headphone.After six month now laptop is automatically getting restarted.READ MORE",0
Worst product don't buyIt will drain battery very fast It gets heated up and doesn't support educational appsREAD MORE,0
Best laptop 👍👍READ MORE,1
What's with the ad engine. I can't catch where the ads are coming from. I can't stop it. I purchased the tab not an ad watcher. Performance is so so. Most game don't work. Rest is ok. But ads are beyond annoying.READ MORE,0
"Calls don't work, need to restart everytime and make a call. battery drains fast. Display is awesome. Sound quality is also good. No issues while surfing, can multitask..READ MORE",0
Very nice product for this money ☺️READ MORE,1
Good leptopREAD MORE,1
Nice 👍👍👍 productREAD MORE,1
Only 5 sec to boot i am surprised overall all i am satisfied with thisREAD MORE,1
Nice product ☺️👍READ MORE,1
Nice oneREAD MORE,1
Best QualityREAD MORE,1
"Satisfying, worth for moneyREAD MORE",1
very good performanceREAD MORE,1
Go for itREAD MORE,1
Display screen error and getting lines till half screenREAD MORE,0
It's Amazing 😄READ MORE,1
As shown in the image 😍😍 perfectREAD MORE,1
ExcellentREAD MORE,1
This start showing shadows og evey app just after 1 year😭READ MORE,0
Loved to buy it. Awesome performance and there is no issue with the laptop. Little bit issue with the sound but its ok.READ MORE,1
GoodREAD MORE,1
Awesome product in this price range definitely go for itREAD MORE,1
Not badREAD MORE,1
The tablet was delivered with dissatisfactory packaging.I purchased this tab because of its 4gb ram expecting smooth tablet experience but I kept experiencing a certain lag with scrolling news feed and playing YouTube JUST AFTER setting up the tablet. That lag is persistent.Battery isn't sufficient as well and it drains quickly.The one pro with this tablet was it display. The display is quite clean and Crisp.READ MORE,0
"Disappointed.. No support for HD vedios. .I bought this tablet to watch vedios in OTT, unfortunately this tablet is not supported for HD vedios(Amazon). Don't buy this tablet if you want to use this for same purpose.READ MORE",0
Osm laptop ...amazing❣️🍁🌈✨READ MORE,1
GoodREAD MORE,1
Design and performance wise this laptop is top notch... You can do light gaming also... No issue in day to day usage... Screen quality is poor.. If you're seeing with different angles and not straight'ly then screen is barely visible to you... And battery is not good... But performace wise top notch... 👌👌I Will suggest that you should go for HP laptop is this range....READ MORE,1
SuperbREAD MORE,1
Its very goodREAD MORE,1
Great productREAD MORE,1
If u r wishing to buy for streaming den dis not d one... Netflix plays only in SD irrespective of ur netspeed ormaking the red changes in app. The reason being widevine rating which is l3. This tab does not support widevine l1 and u cannot watch streaming videos in HD.Both Netflix and lenovo are of no helpREAD MORE,0
Nice laptop at this price... value for money...READ MORE,1
Best use for alloverREAD MORE,1
nice performanceREAD MORE,1
Awesome 👍👍 laptop under 40kI am very happy 😊READ MORE,1
Great product fully satisfied.READ MORE,1
Thanks flipkart for giving fast delivery and i'm very happy to choose this machine. Good battery backe up to 6hours. Overall its best one at this priceREAD MORE,1
Nice look good performanceREAD MORE,1
Low performance.READ MORE,0
Decent product..But the packing was terrible...!!!!!!!!READ MORE,0
NiceREAD MORE,1
GoodREAD MORE,1
Display poor quality and sound issueREAD MORE,0
one of the best laptop for Lenovo Ideapad 3 super performanceREAD MORE,1
It's Very excellent performanceREAD MORE,1
"on-time delivery. value for money, good productsREAD MORE",1
Battery not good and heating and hanging very poorREAD MORE,0
Product is very good 👍🏻READ MORE,1
Very bad products lenovo m10 plus not clear pictureREAD MORE,0
Waste product Don't buyREAD MORE,0
OkayREAD MORE,1
Lenovo ideapad 3 core i3 laptop is nice also performance and copy paste speed also high due to ssd. Love and recommend to all friends. ThanksREAD MORE,1
Everything was good but when i was excel its hanging problem... Other thing was goodREAD MORE,1
Product is goodREAD MORE,1
Voice calling drop  after switched off and use found OK.. But the same issue repeated... Otherwise the product is goodREAD MORE,0
With in 1 month system getting over heated and battery drainingREAD MORE,0
Very impressive 👍Nice laptopREAD MORE,1
OkREAD MORE,1
Loved itREAD MORE,1
Battery not good and heating and hanging very poorREAD MORE,0
really happy with the laptop meet all the expectations...READ MORE,1
GoodREAD MORE,1
Love itREAD MORE,0
Good performance.....READ MORE,1
Ossum product for this price...very good.. Everything is ok.....thanks to flipkart.....READ MORE,1
"1. Worst quality packaging.2. Display problem after screen timeout still display doesn't off, need to use power on/ off bottom.3. Poor camera quality.READ MORE",0
Very bad product I was facing problems after purchasing in only 2 weeks not working properly and so many times It shows some error on screen and not opened.READ MORE,0
First impression is awesome not have hanging problem and battery response is also good Thanks flipkartREAD MORE,1
Love it. Good for CodingREAD MORE,1
Best laptop at best priceREAD MORE,1
Awesome Product.READ MORE,1
I have received this laptop on 4 Oct 2021 .... Laptop delivers within 48 hrsI have unpacked the laptop found no physical damageBill's and warranty card are available inside laptopsDesign is superLaptop boots with in 5 seconds Laptop has automatic bootingLaptop shut down with in 5 secondsCharger connectingWindows 10 Os with 64 bitMs office full accessMcAfee anti virus Google chrome and edge availableAll keys working properly in keyboard including mouseWifi and bluetooth working p...READ MORE,1
switch off and on automatically while charging and using.Bad product delivery by Flipkart.READ MORE,0
GoodREAD MORE,1
Great product.very much satisfied.Good product with low price...READ MORE,1
Wow So NiceREAD MORE,1
Not goodREAD MORE,0
"This was my first laptop, I just loved it. Super one, must buyREAD MORE",1
GoodREAD MORE,1
worthy productREAD MORE,1
Worst products please don't buy this tab within one month this tab stop workingREAD MORE,0
Good 1 I like it... Value for moneyREAD MORE,1
Good And Very Fast Delivery 😁READ MORE,1
VALUE FOR MONEY 💻 FAST WORKING AND SMOTH PERFORMANCEREAD MORE,1
Full satisfactionREAD MORE,1
With in 1 month system getting over heated and battery drainingREAD MORE,0
Wonderfull experience ✌🏻✌🏻READ MORE,1
Very poor build quality tablet banded from the middleREAD MORE,0
Awesome i really like itREAD MORE,1
Amazing product for a low price.READ MORE,1
SuparREAD MORE,1
Just best.❤️  In terms of performance nd looks go for it with no doubts🤗READ MORE,1
Looking good till now great speed due to SSD and 8 gb of ram. It also has privacy shutter that is also good. Value for moneyREAD MORE,1
Very² good just go for it. Guy's. Wouldn't regret u..READ MORE,1
Battery very downREAD MORE,0
Nice laptop 💻☺️☺️READ MORE,1
The product is too goodREAD MORE,1
does not support voice callingREAD MORE,0
Worst battery...within 3 hrs of continuous usage it was dead...if u wanna buy a laptop just go with any other company which provides good battery life.....READ MORE,0
Worth buying it. Everything is perfect at price point except for camera but still better than others at this price range.Battery backup is upto 7hr+READ MORE,1
"After almost a month of very normal usage, the laptop works fine and fast. Display ,design and built quality is very good and sturdy. Sound is ok ok not that much great. Overall a very nice purchase.😇😇READ MORE",1
None other then like this in this price range....No competitionREAD MORE,1
Lenovo laptop having windows 11 and other good features. Also it is in budget. I am surely highly recommended for office and work from home users.READ MORE,1
Best laptop for student and office workREAD MORE,1
Awesome 👍READ MORE,1
GoodREAD MORE,1
Really very nice machine. Superb battery backup approximately 7-8 hours. Thanks #Flipkart #Lenovo Love itREAD MORE,1
Great lap for students with good stuff intel i3READ MORE,1
Very good Laptop on Average priceREAD MORE,1
Very bad product I was facing problems after purchasing in only 2 weeks not working properly and so many times It shows some error on screen and not opened.READ MORE,0
Vry nice in this price but i face one prblm when i updated all drivers then mouse can't work so give me suggestions but overall i have good experience about Lenovo ideapad 3 core window 11 was good i love this laptopREAD MORE,1
NiceREAD MORE,1
This is an vry good product at that price range. No one compete this product in the market at that time. Thankyou Lenovo.READ MORE,1
Within 2 weeks of purchase display has linesREAD MORE,0
Very nice laptop in this rangeREAD MORE,1
After 15 days of use screen gets blurred and linning came in the display. So don't buy this itemREAD MORE,0
"I have bought it in last year oct and in very next month we observed sound for web calling is very low, to over come it we started to use headphone.After six month now laptop is automatically getting restarted.READ MORE",0
GoodREAD MORE,1
"Worst product ever, it hangs at every 30 minutes, battery is discharging fastly and not lasting even for 2 hrs, horrible experience, Plz don't go for it, totally money wasting.READ MORE",0
Best laptop in that price range Very best.READ MORE,1
Bast leptopREAD MORE,1
"Got booting issues after resetting for many times able to boot it. After after applying security update, device struck in with message loading tablet. After multiple time rest able to use it again. Not sure how many more issue going to face. It just been 4 months, I got this device. Major drawback is you cannot connect external key board with pins.READ MORE",0
Software is not pre installedREAD MORE,0
"It's best product in best price, performance is also excellent.READ MORE",1
Very good qualityREAD MORE,1
Best for studentsREAD MORE,1
Better performance with better battery life . It's good laptop in this price range .READ MORE,1
Such an amazing laptop in this price range. Go for it.READ MORE,1
Nyc leptop with batrry issueREAD MORE,1
SuperbREAD MORE,0
Quality is goodREAD MORE,1
"Very very disappointed, after receiving laptop with in 10 days some hardware issue in lenovo laptop but company refused to replace laptop.dont buy lenovo laptop.READ MORE",0
Don't go for it. Battery backup is very poorREAD MORE,0
Worth of moneyREAD MORE,1
NiceREAD MORE,1
Battery life won’t going more than 2 hrs without using mobile. It’s very worst battery . Please clear the issueREAD MORE,0
Value for money you payREAD MORE,1
Recommend  for buyREAD MORE,1
"Very very disappointed, after receiving laptop with in 10 days some hardware issue in lenovo laptop but company refused to replace laptop.dont buy lenovo laptop.READ MORE",0
Excellent one battery lifePerformanceREAD MORE,1
perfect for first time usersREAD MORE,1
Good product..READ MORE,1
Not worth to buy it on this price.Battery life very poorREAD MORE,0
By far this is a overwhelming product for me.READ MORE,1
This laptop is best in this segmentREAD MORE,1
"Third class camera,  Price is too high,  Battery backup is too less. Lenovo has to think over it and upgrade the tab.READ MORE",0
GoodREAD MORE,1
Performance is very fastREAD MORE,1
value for money productREAD MORE,1
"Writing after uses of 03 months, I am fully satisfied with this laptop. It is very fast in response and superb battery backup.READ MORE",1
"Nice laptop at this price, performance is very good, overall best laptop in this segment.....READ MORE",1
"Budget laptop nice performance,READ MORE",1
Office didn't activateREAD MORE,0
Grateful to God for making this happen♥️♥️READ MORE,1
GOOD PDCTREAD MORE,1
Super product very most worth product price is low 8gb pc worth product but sometimes hang on the pcThat slove.READ MORE,1
Office didn't activateREAD MORE,0
Heating problemREAD MORE,0
Battery is really disappointing.READ MORE,0
Good worth of money but battery and display is not worth but it’s good you can buy itREAD MORE,1
I like this laptopREAD MORE,1
Very worst product ever... Battery backup is really worst.... Waste of total money.... And they even don't have refund policy... Don't waste your money in such products...READ MORE,0
"After one week tablets mic is not working,When connect flipkart customers care they said nothing to do this issue you will to Lenovo services center. I hate this type of product and not recommend to purchase.READ MORE",0
OkREAD MORE,1
Overall good performance and Nice laptop ..Smooth working..Nice video qualityREAD MORE,1
"Battery is not charging, I bought this laptop just 7days before and today  my battery is not charging more than 60% , it shows only 60%READ MORE",0
Excellent systemREAD MORE,1
Stylish and good performanceREAD MORE,1
Over all good productREAD MORE,1
Worst product. Reboots suddenly and frequently. No support from flipkart. No support from lenovo too. Don't buy anything from flipkart its waste. And this product is also waste of money.READ MORE,0
"Super laptop ,READ MORE",1
"Received faulty product as it stopped working post 7 days of delivery and cannot replace it, now playing rhymes go to service centre again and again.Please check the seller rating before ordering any product it will avoid your future trouble.READ MORE",0
Heating problemREAD MORE,0
Just best.❤️  In terms of performance nd looks go for it with no doubts🤗READ MORE,1
Worst productREAD MORE,0
Buttery backup not goodREAD MORE,0
Nice super workingREAD MORE,1
Good product LenovoREAD MORE,1
Good laptop used for 10-15 daysREAD MORE,1
Nice laptop working is fastREAD MORE,1
"1,Sound quality,  sound volume is very v poor2, very heavy in weight compared to other 10"" tabs(Samsung) i have used.READ MORE",0
Best laptop for 1st year btech cse studentsREAD MORE,1
Giving heating problemREAD MORE,0
Excellent in useREAD MORE,1
This is a good oneREAD MORE,1
Battery very downREAD MORE,0
"Chinese is Chinese. Don't fall prey to the configuration and specs. Performance is vey slow at times irritating. Go for galaxy tab a which is charm. I purchased both these tabs for my kids, tab a is outstanding compared to this lenovo tabREAD MORE",0
"As per discretion of product, I don't get smart charger with this pack.READ MORE",0
Best budget laptop if u are student then this laptop is best for you. it starts and shutdown very quickly the body is very slim 8 gb ram and 256gb ssd makes it fast but still it depends on your use  overall it's nice laptopREAD MORE,1
Perfect For HomeREAD MORE,1
SuperbbREAD MORE,1
Amazing product...Love itREAD MORE,1
Nice laptopREAD MORE,1
Nice IdeaPad 3 for office but not gaming laptopREAD MORE,1
Rebooting automaticallyREAD MORE,0
good keep it upREAD MORE,1
