Reviews,Verdict
best buy on FlipkartREAD MORE,1
Once failed to load screen but got serviced under warranty. Good oneREAD MORE,1
Stylish elegant and attractive.Owsome laptop by Apple and good to use battery life and laptop performance is owsome.Most owsome part is his trackpad the way Apple think and design the laptop trackpad is owsome.You can not find it any other laptop.READ MORE,1
"Delivery was blazing fast and i bought it for programming ,it runs anroid studio and xcode like a breeze!!  I got it just for 45 k which the cheapest ,i asked in a apple store they told 2017 model cost 64k!!Thanx flipkart.product is just outstandingREAD MORE",1
Fast and we'll handled delivery. The product was as expected.READ MORE,1
"Fastest delivery within a day!As an Apple product u already get assured that it's going to be one of the best performing laptop!Video editing,documentation and allJust don't buy this if u r looking for gaming.READ MORE",1
Everything Is Good But Very Less Internal StorageREAD MORE,1
it's just a nice productREAD MORE,1
Nice product awsome look and performance as i expected to be But my charger is heating up♨♨ very fast As too much that i can't hold itREAD MORE,0
GoodREAD MORE,1
I phone users very use full Especially using bank transactions getting OTPWithout using phone time saving Compare to windows different experience HappyREAD MORE,1
"No words to praise this beaty, made my life a lot easier than ever.READ MORE",1
"I am fully satisfied with this Apple laptop in this price range. Its 2019 manufacturing with original software, excellent battery backup.Thanks to Flipkart & waiting for more offers like this.READ MORE",1
"very good  performance and nice design of this laptop. It's quite better then windows laptop of this price range speed and processing is fast but display colours are not vibrant but its not that bad too its good for normal works. Internal SSD storage is too less its a major issue with this MacBook, one can bought the 256gb variant but its cost is high and size is also smaller. I am using this from one month and its performance is very impressive and also apple services is top class. One issue...READ MORE",1
This Mac is amazing except it's display. But worth buying it in this price segment. Good packaging.READ MORE,1
I have purchased the product but the screen gets off in between automatically and also when i touch the screen it gives electric shock sometimesREAD MORE,0
The product is great using since 2yearsREAD MORE,1
"First Time Using MacBookI switched from windows. MacBook is very easy to use. Its like a mobile operating system. But really very powerful and lightweight.I purchased this MacBook because editing videos and programming. Its very smoothly doing these two works.People were saying about the display that is not great but I did not found anything less into it. Display is great.Everything is great, except memory storage. But because of this every time you need to clean garbage. And you need to ...READ MORE",1
You want happiness? You gotta work for it man! Good luck.. And mac is beautiful and fast AFREAD MORE,1
"received defective display laptop internal crack in the display , apple is not replacing the product . shame on appleREAD MORE",0
"flipkart is making fool to people. some thing they commit, at the exchange time they want new product. even  after paying difference amount they are not ready to provide revised invoice .  this is cheating ..READ MORE",0
Great performance. No comparison with any other brand. I bought this laptop in 46K during a Filpkart sale. I am happy with this product. I hope it will not disappoint you if you are thinking buying it. kindly do check about latest model as well. This is 2017 model though you can go with this as it has all the regular updates which Apple provides.READ MORE,1
"Worst laptop, I have ever had.. I bought it 1.5 yrs ago, now it has motherboard problem.  Why should I go for Apple instead of any other brand , if it has the same problem like other brands have.. now for the motherboard they are asking 32000 indian rs.. such a waste of money..READ MORE",0
I had lots of doubt about the macbook and apple products on flipkart.  1) whether i will get the original or duplicate product but after getting the product my this doubt got clear.  I received the seal packed product and i verified my warranty details also on the apple website. 2) As i was switching from Windows laptop to macbook laptop. So i was worried about whether i would be able to install all the application which i was using on windows laptop. As i need laptop for the programming so n...READ MORE,1
this is an awesome product I loved the performance and macOs is the best one can get as an operating systemREAD MORE,1
My first ever macbook...  I got my delivery after 6 days Well packed when I open the box it was brand new macbook Most surprisingly it was manufacture in April 2019.thats wow.. Remains all know that its a macbookREAD MORE,1
Logic board got dead in just 13th month and new one is 35k! Not a value for moneyREAD MORE,0
SUPERBREAD MORE,1
"Very nice , just like i imagined. Still not very happy with flipkart as they delayed it for 3 days. But produce is extremely well. We did recorded the video for opening and as usual it was real product. spec and everything is as per image. Thanks flipkart.READ MORE",1
It stopped working after few months.READ MORE,0
excellent performance as expected.Camera quality is very good compare to others.Battery life is just a nightmare for other laptops.This mac is best for those users whose idea empowers towards multitasking.Charging point is magnetic and protected from a cover.Long charging wire and a classic design.Overall a very good choice for multitaskers.Finally great delivery by flipkart everything is okay inside the box and packaging is just terrificREAD MORE,1
"I bought it on 21 Feb 2020, the charger stopped working after 4 months. No response from customer care.READ MORE",0
"Original, Warranty ok , No Issue, Perfect,READ MORE",1
Best mac book ever great battery performance with super slim designREAD MORE,1
Amazing laptop in this price rangeREAD MORE,1
Awesome product ...great...READ MORE,1
Very much pleased with the product.. and delivery was before time.. packaging was very well done.. very happy.. thank you.. Flipkart and apple.. keep surprising with this kind of offers.READ MORE,1
Worth for Money..READ MORE,1
"I've wanted a MacBook for a while now because of the build quality and the simplicity of the OS. I spend an average 6 hours a day using it for college and the battery still has a fair charge left. The screen looks great. ​Apple does a great job of integrating their products. Being able to unlock my laptop using my watch is great. It’s pricy, but I guess you're also paying for the brandWhen you think of Apple you automatically think expensive if your anything like me. When purchasing this lap...READ MORE",1
Okay it felt little harder for me to use MacBook Air as i switched from windows to macOS. The display was just too small I thought when it got delivered but after using & realised performance I Thought its not windows lol to give 15-16 inch screensREAD MORE,1
Ultra Slim and extra ordinary light weight. Operating system is rather easier than windows and all. Backlight keyboard with Fast charging really works great. Delivery was really fast from ekart logistics. ThanksREAD MORE,1
still in August 2k20 it is best in the market ..READ MORE,1
"working well , for a person like me who works more on drafting is a perfect choice .READ MORE",1
"Good design, huge performance and scalable product from apple. OS boot up in 5 sec.. slim and less weight,.. long life battery once charged 100% with max utlization it will be 9 hours life... Good sound system and dispaly... Nothing more than that except low ssd space... But thats fine.. go for it ..READ MORE",1
"Extremely satisfied with the service of flipkart and timely delivery. Macbook Air is easily the best notebook in this category. For an user who perform daily tasks, browsing, downloading and youtube surfing, this laptop is a speed demon. Dont expect gaming on this laptop. Overall a very good laptop. Pls do considerable research about this macbook air about what it can do and what it cant do before buying, you will definitely love it.READ MORE",1
"very good product (light weight, high battery back up, reliable mac os, fast speed due to SSD and 8GB RAM, and doesn't heat up when used for long, and going by history of the product it should sustain all these good points even after years, unlike other laptops that deteriorate after few months or couple of years) and then unbeatable price as I bought it at final price of 48.5kREAD MORE",1
"It seemed to be a very good deal initially. It worked perfectly for few months. However, screen got damaged due to water. Apple store was asking for 44k to replace screen. Got it replaced from outside in 22k. System used to hang multiple times. Who says apple devices don't hang. They do. Finally, the worst part, charging issue. Device doesn't charge.READ MORE",0
Awesome Product.READ MORE,1
This is my first apple product and I bought this laptop on exchange with the my old hp laptop. My experience on very first day few keys are not working and I reached out to the Flipkart and they gave me response stating to visit and nearest mac service center. There is no replacement for the product and the solution for this fix is they need to replace whole keyboard. I am not happy because at the end I will be getting the repaired product and not the new one.                                 ...READ MORE,0
"it's awesome🤩..I really loved it...it's my first experience with the macbook and I can totally say it's wonderful..better in looks, performance ,size,weight ,pretty much handy...it's better in almost everything except few things like you will have problem with LAN cable you will have to buy a separate adaptor for it...and some of the application are only meant for Linux or windows you cannot have them...apart from that it's nice.READ MORE",1
this message is only for those who wants to learn or develop mobile apps.I bought this Macbook in November 2019. and the very first I installed android atudio. yes I'm an android developer. I tried running android studio and this beauty handles it very smoothly. I didn't faced any lag or hang. so  I fired up android emulator too just to know if it can handle or not. But surprisingly the machine handled that too. I was amazed. There's some lag on emulator but it still handles it and doesn't s...READ MORE,1
The Macbook Air is an amazing product. It's a piece of art. Since last 20 years I have been using Windows PC so I was bit nervous if I will be able to adept to Mac. But believe me it's not that difficult. I had few issues in the beginning but you can always Google it and find the solution. Also Flipkart did the good job of delivering it as per promised.READ MORE,1
"I have been using macbook pro since 2 year. Now on flipkart exchanged with this macbook air at first glance it's pretty good looking device, thin, very light, attractive. Performance is good. Best part is TouchPad, smooth operating system which makes it different. People will say I'm using macbook so I'm telling all good about it but i sah try and see ur self. It's very nice to have a basic light weight and pretty good laptop.READ MORE",1
awesome truly amazing loved itREAD MORE,1
"Got it for 44990 only without exchangeVery happy with BBD offerDelivered on second day of orderNo other laptop has build quality,p performance and battery life @this priceOnly drawback is internal storage is only 100 gb freeBut we can afford external HDD for thisLocal store estimated 67000 for same modelBest ever purchase from flipkartstill working like new in sep,19 , more than two years from purchaseREAD MORE",1
Not satisfied with flipkart.READ MORE,0
This is something next level Just wanna tell you that this small thing is 10 time more powerful than a 80k windows laptop.If you have a budget for 50-60k go for it without giving a single thought.Best for students. But professional can also go for this. This dragon Will not let you down.READ MORE,1
"I am a software developer, It works fine for me.READ MORE",1
"Pros: Pretty much everything. Light weight, super smooth, amazing display, high performance etc.  Cons: Less storage space. But it's working fine for me. even though I've installed lots of programming softwares including UNITY, Android Studio & xCode. ,READ MORE",1
Using for more than 2weeks. Nice experience.READ MORE,1
