Reviews,Verdict
"I’ve only really ran wow on this computer so far so I can’t say it’s crazy good for gaming but so far I’m loving this computer. Supper fast and great looking design. My first razer computer, but needless to say I’ve been eyeing razer for a while and I’m glad Amazon prime day happened because this was only 950$. So far a great deal",1
"After about a week of use, I decided to return it. Reviews said that Razer has put a really aggressive undervolt and power limit, but for some reason my unit just regularly hit 100C. I even downloaded throttlestop to try to work it out myself but to no avail. I was able to undervolt and get 1w idle power draw and a consistent 7 hours of battery life. The other thing I found really weird is how hollow it feels. Don't get me wrong, its dense and heavy, but wherever you tap on it with a fingernail, it sounds like plastic. Don't get me wrong, its the nicest built windows gaming laptop but compared to a mbp, the finish is just not there. Lastly, the keyboard is just really weird. Shift row of keys is shifted to the left 0.25 key lengths and it makes switching between my laptop and desktop keyboard harder than it should be.",1
"The battery life I’m getting is around 4 hours on a full charge with low performance. It is super thin and light, however, the main concern I have is the amount of heat it produces.Even though this laptop is supposed to have better thermals than the base model, when you crank the GPU up, the fans will kick it up to around 85-90C. (Hot enough to burn your hands).The reason for this is due to how thin the laptop is. Due to this, the laptop isn’t able to cool itself as well as the thicker variants. Do take this in mind before purchasing.Overall : Solid laptop, just remember that you’ll probably want to get a cooling pad, do whatever you can to make sure it stays as cool as possible.",1
"Living on a sailboat I've had to give up desktop pc's for laptops. I've had many over the years, usually top of the line beefy monsters. They were cumbersome and I always looked like ""that guy"" at work. After an unfortunate motorcycle accident that destroyed my 17"" Clevo (6 core I7 and full 2070) I started looking for something that could not only game, but was also portable and not so flashy at work (The unicorn). I was extremely nervous about the thermals, razer doesn't have a good reputation in that department. But to my surprise I haven't seen temps above 88c on the cpu. This is while playing games like Star Citizen, Arma 3, etc. Although its only been a few weeks of ownership, I couldn't be happier with this slim monster. The battery life is around 5 hours and gets me through a work day no problem (google sheets, scheduling and fleet tracking). PD charging is also extremely convenient if you're tight on space, but honestly the power brick is super small already. Only time will tell for longevity. The fingerprints are horrible, I'll be buying a debrand skin to not only protect from scratches but also my oily ass hands. My only real gripe is having only one storage drive slot, I really would have like 2x M.2's for raid 0 but that's just me being picky.",0
Nice entry level gaming laptop. Battery life is okay for basic data entry or web surfing but dies fast when playing any game.,1
"Payed USD1099 for this Razer base model. At that price this is a steal, at USD 1199 is an excellent purchage but at the original price of USD1599 not worth the money. The SSD included is really low performance. If you plan to really game with this laptop buy a new NVMe ssd storage.Amazing how BAD the sound of the speakers in this laptop, terrible terrible bad quality sound. Not sure why Razer use THX...",1
"Battery life is non-existent in the unit I recievedI've owned this laptop for six months and within those six months I've had 4 separate occasions where the laptop will not recognize the charger. The battery will not drain when it's connected, but this causes the computer to run at bare minimum specs since it believes its on battery. For example, with no settings changed, previously I was running Control at 200 FPS and I can't run Phasmophobia (a lower spec game) higher than 2 FPS....YES ""2""!!!Razer tech support was of little help, they want to troubleshoot the software when it is a hardware issue.Currently, this laptop is just a $3000 paperweight.",1
"so happy with the laptop, had an asus and an Alienware prior to the razer and its in a different league to them interms of build quality",1
"It is a very powerfull machine, but It is imposible use it on warm clime like caribean countries. I recomend a notebook not so pwerfull and other desktop machine for games.",1
" I really wanted to like this laptop, I am generally a fan of Razer and have used their products off and on for many years. I was asking for a lot when I decided to purchase this laptop but nothing that wasn’t promised in the Amazon advertising, I was looking for a sleek/quiet/yet powerful laptop that I can use for browsing/gaming. In an attempt to make sure the laptop would be able to handle my requests I even opted for the “advanced” model. This laptop LOOKS great from a physical standpoint and appears quite powerful when it comes to gaming. However, from the first day I tried this laptop I had doubts about whether my purchase was worth it. Even after removing all bloatware and ending all non-essential tasks this laptop IDLES at ~40% memory usage (6-6.5/ 16GB). The laptop is fairly quiet while idle but definitely not silent, and the second any program boots (game/discord/chrome) it will immediately kick in the fans at an obnoxious volume under default razer settings. There are options within razer synapse to manually reduce fan speed which makes the laptop quieter but at the cost of more heat. With the fans on auto (loud) this laptop still generates noticeable heat while idling and over 15-20 minutes reaches near skin-burning temperatures while playing minecraft on the lowest settings, keep in mind this laptop still retails for $2000-2500, that is unacceptable performance for this price point. Additionally, on my second day using this laptop (mind you this is still on default fan settings while playing minecraft on the lowest settings with native resolution) the GPU overheated and crashed the laptop/blackscreened until force shutdown and then needed to wait to cool down before being rebooted. I believe the actual specs of the laptop should be able to handle a heavy workload but the design of this laptop does not supply adequate cooling/heat reduction, especially not without making enough noise to drown out an entire room. Lastly, just a few extra annoyances, the webcam quality is real bad, it looks comparable to my 360p Logitech from the 2000’s. The built-in speakers are laughably awful but that wasn’t a big deal for me as I always use my laptop with headphones. The laptop requires you to not only keep and use the Razer bloatware to customize things like keyboard color/brightness (not super uncommon) but it also must remain running at all times in order to even do things as simple as lower the screen brightness using the function keys. In the end, I may give Razer a try again in the future but I will be taking another deserved break from trying their products after this one.Attached images of startup RAM usage and black screen from overheating. Video is fan sound during boot + idle.",1
"I was hoping to get an advanced for a while, as I like the slimmer look, vapor chamber cooling, eight cores and ability to charge via USB-C. Only thing, they are much more pricey than the chunky base models. Amazon Warehouse had an ""acceptable"" condition one, which means there may have been some scratches etc. Other than the look, which I was fine with having ordered a skin regardless, the laptop works perfectly.Quiet and cool when casual use (like office and college work), yes it gets hot and audible when gaming or editing, but in an all metal body this slim, it really is to be expected. Battery life is nothing fantastic, but fine for a medium coffeeshop stay or a flight wait. This is not an Ultrabook after all, with a GPU and a big screen. The keyboard lighting is brighter on the advanced model too. Oh and upgrading the computer is super easy.To sum, give Amazon Warehouse deals ago, as you can get a great product, with 90 warranty / returns and save some cash. Best purchase I have made in 2021.",1
"This is exactly what you think it is. A very well designed powerful gaming laptop. The chassis looks and feels awesome, gaming on desktop, steam, stadia is incredible and Razer technical support is top notch. Added bonus is having this laptop when everyone else at the coffee shop has a Mac.",0
Love this gaming laptop. The battery life is awesome. Just make sure you get a good fan for this laptop as it can get pretty hot.,0
Bought for my daughter for her gaming and she loves it. The games no longer have any lag or clipping which was triggering her vertigo. Her only complaint is that when playing any game that she only gets around 2 hours of battery use so she keeps it on the charger when its on.,1
