Reviews,Verdict
"Was so confused when my eight year old Asus turned slow as a sloth and started looking for a good laptop that fits my needs. I'm a regular laptop user - no gaming, photo or video editing or other graphic-heavy tasks.My uses were regular browsing, media consumption and productivity uses. I had shortlisted the Lenevo Ideapad 5, Dell Inspiron 15 series, and Asus Vivobook K15 OLED along with this MI Notebook Ultra. As I was not the one who doesn't go after brand value per se, (Not a Maruti Suzuki/Hero Honda fan, OnePlus over Samsung) the brand value of Dell wasn't a factor in my decision making, but the after sales service was. The MI Notebook Ultra isn't cheaper either as you could get the Dell model with similar specs at almost the same price.Finally I choose to go with the MI Notebook Ultra as I felt all other laptops have inferior display except the Asus K15 OLED. We all are spoilt by the amazing high quality super Amoled displays with high refresh rates, I was sure I would get affected by the inferior displays of other models mentioned here and can affect my media consumption experience a lot. Other factors that made me choose this one over others is the build quality of this one which feels pretty solid as it has an all-metal body while all others in the list has plastic elements in it which feels cheap and fragile.Things that can be adversely affect your decision to buy this one - MI is relatively new to the market and doesn't have much experience in building laptops.MI phones brand recognition is often associated with its crappy UI and phones filled with bloatwares, but I can assure that here, it does not matter as laptop comes pre-installed with clean Windows OS.Regarding the thermals, I've observed that the laptop tends to heat a little bit when it is being charged and used at the same time.Suggestions for improvement - Lack of privacy shutter for the front camera. I feel it is a huge deal since we can often forget to turn off the video during online meetings and this an effective tool to make sure you're not seen.Lack of AMD Ryzen variants - Gone are days where Intel used to dominate the chip market since now Ryzen variants offer better performance than the similar Intel variants. I'd have happily hone with the Ryzen 5 5500u variant instead of the i5 11 variant if it was made available.Front camera should've been betterProspective buyers please keep in mind that the RAM is soldered and cannot be upgraded so try to get the 16 GB variant of your use case demands high RAM requirements.",0
"Looks great, super display and  quite fast so far.Big disspointment is the charger and charging. It has the ugliest legacy looking charger i have seen in recent times.. and no we can't use any usb type c charger to charge the laptop. This is a real bummer, the thunderbolt port also doesny charge the laptop.The webcam and the speakers are also totally useless. So a video call was a disspointing experience.And the free office for home and student didn't get activated for me. All mi support could do was redirect me to a youtube video and microsoft directly. I wasn't able to work around the error msg: office home and student is not associated to your account. Hope it works for others.Happy with the build quality, display, wifi 6 and fast ports.Rest all is just gimick unless some miraculous software update can fix the speakers, webcam and charging options.",0
"This is the first time i am writing a review for a product that I'm using past 6months. am usually very choosy when it comes to finding right product. This laptop is chosen after a lot of research. Found really good when compared with laptops of other companies in the same price range. Totally happy with the display quality & build quality. Graphic intensive games might not like best in this range, but believe me in this price you won't get this level screen quality & build quality. forget about this level you won't get half of this level build quality.",1
"I managed to get the 16G i7 variant. I have been using laptop as daily driver. It's a good laptop but just a little workload gets the fan buzzing. Camera is trash and so can be said about audio. I have faced already power on issues 2-3 times in just 6 months. I will check if that issue happens again to report the issue (but as the issue is not persistent, when you report it's possible that it boot up every time during report and testing). Extended warrant plans on Amazon or in mi store is from Onsite Go or One Assist (one assist has bad customer reviews and in substantial numbers)Meanwhile, I got a chance to work on Macbook Air 2020 8G RAM 256 G ssd and it feels much smoother and audio quality is much much louder than Mi notebook and price around 79K-80K during offer period (camera is marginally better than Mi but not great in base macbook air which I used)",1
" Laptop is working on its own after enabling touchpad seems some internal issue in laptop as updated the drivers restarted many times but the problem is still the same.Considering the costing of the Laptop material is cheap and boot ime is more than expected the only good thing found till now is the sound of the laptop is good no complains on that. Delivery was also super fast by Amazon.Now raising the touchpad issue with Amazon lets see what happens.Will update accordingly.Update on 29th Jan Laptop replacement request taken by Amazon and new laptop is arriving tomorrow.But this seems some scam as the brand new seal packed laptop is a used one as you can see the laptop browser is already configured with some gmail id tojikdominic@gmail.com which is syncing the browser data payment methods cards and passwords.Kind Attension Please have these checked before you start using the laptop for any online purchase or before saving your password on the personal computer.Pathetic experience on return request for the product, Delivery & pickup service vendor of Amazon isn't trust worthy for such big amount purchases.Followedup for about 15 Days and many hours on their customer support to get my refund.",1
"Received the laptop with CHARGER. Good qualti at first impression and good speed so far. Two things I found could be better was, Brightness of the laptop is not high + speakers could be little more loud.I feel both as to be 80% of what they should be.",1
"I got my laptop delivered today from Amazon. As I was looking for an extended warranty, I called mi.com and was asked to call oneassist to get the warranty. They offered extended two years warranty at 6499 while the same plan if purchased from mi.com along with the laptop is 3699.  I called mi customer care and the reason given was since you have purchased from Amazon, our partners can't provide you at the same rate and you should have bought from mi.com. Why is this not mentioned in Amazon or mi website as a disclaimer. I felt really cheated and this is not what I expected from Amazon nor Xiaomi.Updating after using for three months. Motherboard problem in three months. Can you imagine. The c c type charging port was not working and had given to an authorised service centre. It's been three weeks and no one called back after checking the issue. When I called they are saying motherhood issue and they have ordered the part and the company is not sending the part. They asked us to call and order the part. Pls don't buy MI PRODUCT. They don't provide good service nor extented warranty. Deeply regret for investing in this product",1
"We'll crafted, light weight laptop with top notch internals. Value for money at this price range compared to other exclusive laptop brands .",1
"When the laptop is connected to charging point and I am not doing anything on the laptop, some process gets stuck (like edge) and CPU utilization goes high & the FAN starts making noise.if i disconnect the Charger then the problem goes away, another option is to go and kill the hanged application/process.I went to the service centre they did a software reinstall but its still not solved.Now i really want to return this fault product but as per amazon policy u can not return after 10 days, I am using this laptop for 45 days approx.  i am really not sure if mi can fix the issue ( or first identify ).i can foresee myself knocking the service Center door more often now.",1
"Balanced Battery Upto 5-6 Hours easily.Good WebcamSmooth PerformanceNot for GamingEveryday tasks like video editing,streaming Content can easily be achieved.",1
The speaker quality is worst. Even my normal phone speaker is higher volume than this. If the ceiling fan is running You will have to struggle to hear anything. And Amazon wont even take a return order.,1
"Purchased this 15 days ago, Was extremely happy for first 7 days - excellent performance.But Screen has already started flickering. Battery backup is poor, camera/sound are extremely disappointing.Not going to recommend this.  Never buying MI again.",1
"Except for poor speakers everything else is awesome. I mainly use this to develop android and full stack apps and this machine is a beast for my workflow. So , I highly recommend this to anyone looking for a new laptop.",1
