Reviews,Verdict
This Chromebook has a fast response time.Touch screen is very easy to use.UHD screen is very beautiful.This is the best Chromebook.,0
Theses Chrome Books looked and performed like brand new with a very reasonable price.,1
"Haven't used only tested it, been in case",1
I only had it for a month and it stopped working,1
"This is an excellent computer. I had one before that was defective and this was a replacement. It's really well made of solid machined aluminum and very attractive in the ""fiesta red"" color. Battery life is good depending on usage of course but I do get all-day mixed use of 6-8 hours of screen time. The screen is a beauty and the general performance is more than adequate; speedy reactions to input with rarely any lag at all. I got this as an alternative to a windows computer because I felt like I really didn't need all those capabilities with my typical use. I haven't found anything to complain about and I am quite happy with this purchase.",1
"Esperaba que fuera mas lento, pero para los estudios de mis hijos es mas que suficiente",1
"Freezes up, lock screen can restart 5x's daily.Stock trading impossible on crap machine. Cost you hundreds in poor response.Blinking screen.Not COMPATIBLE with many, many, many, many appsCHROME OS? niche' junkSLOW LAPTOP",1
"Honestly the battery gets a bad reputation but it isn’t as bad as it’s portrayed. Yes it is short you only get 4-6 hours or so with full brightness. After a couple weeks you get in the habit of charging it when your not using it. Once you get used to keeping it charged it lasts all night or all day no problem. The best laptop I have had personally. Screen has great quality, the color is amazing, loads extremely fast and does very well with having multiple tabs open at once. A solid 9.5 out of 10 for me. 1 con I found is overtime the mousepad is easily subject to damage if not cared for properly. With everyday use it’s no problem but not very durable with drops.",0
"Only had a day so far, but very impressed.Update: After about five months of daily use, my daughter continues to get excellent results from this device, for both school work and personal entertainment.  I added a solid screen protector, just in case.Zero negative comments about this device. But have decided to get a magnetic adapter for connecting the charging cable, to avoid damaging the charge-cable when removing it.",1
Just got this today.  Works great! No cosmetic damage at all. Has an AUE date of June of 2027. So basically 5 years of automatic updates.,1
