Reviews,Verdict
I was skeptical at first. Now I see iphone pays influencers to enter their stupid opinions ... OnePlus nord 200 5g is an awesome buy! Works great on at&t ...,0
"Very unimpressed with this phone. I had to replace my one-year-old Redmi Note 9 Pro phone because of the 5G transition required by the ISPs.  I LOVED the Redmi. I do not love--or even like a lot--the Nord OnePlus.The screen is dark:  to bring the light up to the level needed to illuminate the data/apps, particularly when using it outside, it drains the battery rather quickly.The quick app menu icons (e.g., to take screenshots) are ridiculously large, very asthetically DISpleasing. There is no way to make them smaller other than installing a brand-new app loader.The camera app they had preinstalled was demanding I give it access to contacts, phone numbers, etc. No, thank you!  I replaced the app with another one from GooglePlay, which, btw, is superior in its photo features and quality.Constant nagging from Nord to ""finish setting up"" the phone--which actually means insisting I join their ""community"".  No, Thank you!Slow charging. Not the super-fast speed they claim.",0
"I’m an iPhone user who bought this phone as a backup. I love the design the battery life and the user interface. It has a 90hz display by the cpu is the bottleneck and it’s more janky than my old iPhone X. The camera is also bad, despite there are 3 of them…..But I would really like to give the higher end one plus a try!",1
Excellent value,0
"Su audio esta bastante bien , es un poco sensible al tacto . La cámara está bien no es la más guapo pero bien. El teléfono hará ahora va bien . Lo que me asusto un poco fue que la batería se le calentó mucho una vez así de la nada y como no se le puede sacar la batería pues lo tu e que apagar .pero no lo a vuelto a hacer hasta ahora . El celular es good",0
I bought two of these phones. The first one wouldn't  charge. The second  one turned  the RTT on and it won't go off. One plus is having  issues  with the RTT. They need to keep these out of America. They certainly  didn't do us a favor selling them here. Then to top it off Amazon customer service lied and told me the money  would  go to a gift card I couldn't  see it in my account. I have to get the phone  back from UPS. I would recommend not purchasing  a phone fom Amazon at all. The customer  service  agents don't UNDERSTAND ENGLISH!!!,0
Great product... Battery Life needs improvement,0
I am a OnePlus fan for life I got there first flagship phone about 10 years ago and fell in love recently I've purchased the OnePlus N10... Had that phone for about 3 years and then I dropped it had to get another phone... Went back to Samsung got an S9... Didn't have that too long because I got another one plus I just can't leave these phone operation alone they're the simple version of Android but yet their phones work so fast and adapt so quickly. There's not anything you can't find on the internet to help you with your OnePlus this phone gives me no issues,0
"Facial recognition is a great feature, bluetooth connectivity to auto radio works well.",1
I go,0
Nice,0
Phone itself is decent for the price you pay. The front selfie camera is the absolute worst. Over exposure and too bright which seems to be the software. However oneplus does not consider this a bug yet despite all the complaints in their forums about this issue. So a fix is unlikely. Unfortunately will return this since primary need is for video calls and the front camera performs worse than a 100$ phone.,1
"It's pretty big. I don't use facial recognition because there's really no need for it and it's stupid anyway. Fingerprint sensor is pretty good. The camera leaves a lot to be desired especially if your coming off of an iphone but I knew that going in. I wanted to get a Google phone but too expensive. So I settled on this. It's pretty good, charges quickly. And it looks really nice just out of the box. I was tired of Samsung budget series wannabe S series. The last two I had were glitchy as hell. And Unless you wanna spend at least 300 on a better model Motorola I feel like they are right in the same category as the those Samsung phones. The last one I had was really crappy. So if don't wanna spend hundreds on a new ugly 49 camera lenses iPhone and your sick of Samsung and Motorola, I'd  say go ahead and get this. There are better phones probably. But not many as fast as this one for the same amount of money. Overall I'm happy with the purchase after having had it for a couple of months.",0
I got two of these for my kids and they love them. Full featured device for less than half the cost of bigger named brands. Great deal for all but the biggest power users. I am seriously thinking of leaving the Samsung Galaxy lineup for my next upgrade and moving to this much more reasonably priced lineup.,0
Been with Verizon for a very long time. Mostly used Qualcomm or Samsung phones. Nothing else compares to this new OnePlus battery life. Excellent life span & very quick Charging!,1
Good Case,1
"usually i don't write reviews, and i am not a phone person so this should be taken with a grain of salt.  I hate phones, and i believe smart phones are the worst invention because trying to get a phone to do a computers job is like asking a carriage to be faster than a car.  it doesn't make sense to me in any way shape or form.  however, this phone has blew my expectations.  I am speaking from a personal point as a person who thinks having a phone is a hassle(charging, and then making sure its set to networks, etc).  This phone surpasses my wildest expectations, and is a true 5G phone.  i don't take pictures much, but i will say for my use it does a good job.  The battery life is really long on this phone. I can usually go 2 days without charging(provided i don't use the pis suhone as much).  The connection  is superb and i am very happy",0
