Reviews,Verdict
V niceREAD MORE,1
OsmREAD MORE,1
GoodREAD MORE,1
Very bad phoneREAD MORE,0
"Only 9 hours workin with net, without video. 5 hours charging timeREAD MORE",0
Nice productREAD MORE,1
"They must have include the charger which is very disappointing. Display is ok but amoled Displays are sometimes that samsung is famous for & not getting it in the phone is sad, at least they should give IPS or LCD Display. Selfie camera is only 8 pm which performs poor in night, Which should be at least 12 or 16 pm. Not an camera phone I must say. Except this other things are good. A phone for decent performance and for minimum user personality.READ MORE",0
Hanging since the first day....auto switch off..battery charging not there many times...poor overallREAD MORE,0
ExcellentREAD MORE,1
Doesn't comes with chargerREAD MORE,0
GoodREAD MORE,1
best mobile at this rateREAD MORE,1
Super 👌READ MORE,1
Adapter not there.....charging code is C to C which is not good.  Now we have to purchase Adapter again Rs. 1000.READ MORE,0
Best in class this priceREAD MORE,1
Verryyyyy niceREAD MORE,1
Great Phone at this price.All the features are smooth.READ MORE,1
gudREAD MORE,1
Awesome mid buject mobileREAD MORE,1
bro awesome product . buy it if having a budget <20000. TFT display not an issue. cameras top notch. little bit big screen. processor best. notch is outdated. best design.READ MORE,1
Very nice look mobileREAD MORE,1
Yellowish images in video call and photosREAD MORE,0
Very nice phone ....thanks flipkart😊READ MORE,1
No ChargerREAD MORE,0
No goodREAD MORE,0
"Software Not optimize due to Mobile restart automatic at any time , i am facing issueREAD MORE",0
OsmREAD MORE,1
I received mobile with a locked pattern by default.Now I cannot use it neither reset it. HATE SAMSUNG MOBILEREAD MORE,0
Definitely a product worth of every Penny…and proud to say that i am not holding any Chinese product now.READ MORE,1
Nic .READ MORE,1
Nice phone ☺️READ MORE,1
Good mobile phoneREAD MORE,1
Very worst mobile camera not ok & Simply say don't waste your moneyREAD MORE,0
